"GeneID","geneSymbol","max_abs_dPSI","best_dPSI","min_FDR","n_events","event_types"
"ENSMUSG00000022386","Trmu",0.163,-0.163,1.08488507542471e-05,2,"SE,RI"
"ENSMUSG00000015305","Sash1",0.123,-0.123,1.0897282890926e-05,1,"A5SS"
"ENSMUSG00000020166","Cnot2",0.465,-0.465,1.09345910391415e-05,5,"SE"
"ENSMUSG00000020300","Cpeb4",0.164,0.164,1.13081564246697e-05,3,"SE,MXE"
"ENSMUSG00000035284","Vps13c",0.263,0.263,1.1670452762237e-05,2,"SE"
"ENSMUSG00000086968","4933431E20Rik",0.32,-0.32,1.16904750422473e-05,5,"SE,A3SS,RI"
"ENSMUSG00000039844","Rapgef1",0.176,0.176,1.26096191121668e-05,5,"SE,A3SS,MXE"
"ENSMUSG00000002428","Hltf",0.134,-0.134,1.29687565925262e-05,1,"SE"
"ENSMUSG00000023977","Ubr2",0.15,-0.15,1.30441165076963e-05,1,"SE"
"ENSMUSG00000014782","Plekhg4",0.213,-0.213,1.39836630761196e-05,1,"RI"
"ENSMUSG00000046822","Slc39a3",0.195,0.195,1.39934540556634e-05,2,"SE,A3SS"
"ENSMUSG00000048899","Rimkla",0.227,0.227,1.48762805021752e-05,1,"SE"
"ENSMUSG00000087060","Eldr",0.175,-0.175,1.50081661935699e-05,2,"A3SS,RI"
"ENSMUSG00000020527","Myo19",0.162,-0.162,1.50386396388747e-05,1,"SE"
"ENSMUSG00000059772","Slx1b",0.111,-0.111,1.56988893225461e-05,1,"SE"
"ENSMUSG00000028256","Odf2l",0.141,0.141,1.59770158945174e-05,1,"SE"
"ENSMUSG00000106864","Gtf3c2",0.124,-0.124,1.61957987530082e-05,1,"SE"
"ENSMUSG00000025982","Sf3b1",0.129,-0.129,1.67354590081309e-05,1,"RI"
"ENSMUSG00000015501","Hivep2",0.278,-0.278,1.69695378827837e-05,1,"SE"
"ENSMUSG00000062785","Kcnc3",0.326,0.326,1.7021590643803e-05,2,"SE"
"ENSMUSG00000055692","Tmem191",0.146,0.146,1.7376908758604e-05,2,"RI"
"ENSMUSG00000062991","Nrg1",0.3,-0.3,1.79724354088349e-05,3,"SE,MXE"
"ENSMUSG00000070564","Ntn5",0.35,-0.35,1.79772112908203e-05,1,"SE"
"ENSMUSG00000022607","Ptk2",0.277,-0.277,1.82144288951477e-05,2,"SE"
"ENSMUSG00000058886","Deaf1",0.207,-0.207,1.8567258562636e-05,1,"SE"
"ENSMUSG00000061028","Clasrp",0.22,-0.22,1.8714988565275e-05,1,"RI"
"ENSMUSG00000029462","Vps29",0.163,0.163,1.87816700589279e-05,2,"SE"
"ENSMUSG00000036333","Kidins220",0.144,0.144,1.89993419291157e-05,1,"SE"
"ENSMUSG00000061887","Ssbp3",0.101,0.101,1.90927258199199e-05,1,"SE"
"ENSMUSG00000042099","Kank3",0.217,-0.217,1.92870257431643e-05,1,"RI"
"ENSMUSG00000022139","Mbnl2",0.145,0.145,2.06151569147105e-05,2,"SE"
"ENSMUSG00000030172","Erc1",0.163,0.163,2.15437648629046e-05,2,"SE"
"ENSMUSG00000031819","Emc8",0.243,-0.243,2.37073992252985e-05,1,"SE"
"ENSMUSG00000013033","Adgrl1",0.109,0.109,2.50717601519826e-05,1,"SE"
"ENSMUSG00000036977","Anapc10",0.152,-0.152,2.52281380735468e-05,2,"A3SS"
"ENSMUSG00000038371","Sbf2",0.239,0.239,2.67972427983008e-05,1,"SE"
"ENSMUSG00000031508","Ankrd10",0.12,0.12,2.84843869066929e-05,1,"SE"
"ENSMUSG00000065954","Tacc1",0.109,0.109,2.91585154059633e-05,1,"SE"
"ENSMUSG00000008855","Hdac5",0.379,0.379,3.03866167675138e-05,3,"SE,MXE,RI"
"ENSMUSG00000051586","Mical3",0.203,0.203,3.09343976434161e-05,4,"SE"
"ENSMUSG00000020078","Vps26a",0.216,-0.216,3.14349710969308e-05,1,"SE"
"ENSMUSG00000022837","Iqcb1",0.139,-0.139,3.15878867673424e-05,1,"SE"
"ENSMUSG00000121504","Ppp4r1l-ps",0.364,-0.364,3.21565627657686e-05,13,"SE,A5SS,A3SS,MXE"
"ENSMUSG00000025165","Sectm1a",0.276,0.276,3.3470602441056e-05,1,"SE"
"ENSMUSG00000097068","Gm26760",0.168,-0.168,3.3470602441056e-05,2,"SE"
"ENSMUSG00000016921","Srsf6",0.118,-0.118,3.49662058711641e-05,1,"RI"
"ENSMUSG00000057335","Cep170",0.117,-0.117,3.9257019947339e-05,4,"SE,A5SS,MXE"
"ENSMUSG00000071454","Dtnb",0.187,-0.187,3.98457234897981e-05,1,"SE"
"ENSMUSG00000058729","Lin9",0.125,-0.125,4.06398523686481e-05,1,"SE"
"ENSMUSG00000021548","Ccnh",0.285,-0.285,4.13441358054042e-05,1,"SE"
"ENSMUSG00000036591","Arhgap21",0.21,0.21,4.24107750950333e-05,1,"SE"
"ENSMUSG00000029863","Casp2",0.378,0.378,4.31696620727891e-05,1,"SE"
"ENSMUSG00000030498","Gas2",0.143,0.143,4.33174365248858e-05,1,"SE"
"ENSMUSG00000028232","Tmem68",0.133,0.133,4.37655541718684e-05,1,"SE"
"ENSMUSG00000006281","Tep1",0.126,-0.126,4.46019730764414e-05,1,"SE"
"ENSMUSG00000031171","Ftsj1",0.227,-0.227,4.55069774665401e-05,1,"RI"
"ENSMUSG00000037103","Dcaf15",0.116,-0.116,4.62538564227097e-05,1,"A5SS"
"ENSMUSG00000016200","Syt14",0.138,0.138,4.68941849784433e-05,2,"SE,MXE"
"ENSMUSG00000039623","Ap5z1",0.152,-0.152,4.90748300647082e-05,1,"RI"
"ENSMUSG00000024969","Mark2",0.155,0.155,4.91683066458666e-05,1,"SE"
"ENSMUSG00000030688","Stard10",0.239,0.239,4.97860633454228e-05,1,"SE"
"ENSMUSG00000051285","Pcmtd1",0.16,-0.16,4.97860633454228e-05,1,"SE"
"ENSMUSG00000079105","C7",0.252,-0.252,4.97860633454228e-05,1,"SE"
"ENSMUSG00000014554","Dguok",0.111,-0.111,5.21162027294763e-05,1,"SE"
"ENSMUSG00000035757","Selenoo",0.115,-0.115,5.43690670668787e-05,1,"A5SS"
"ENSMUSG00000090077","Lime1",0.111,0.111,5.52689372155272e-05,1,"A3SS"
"ENSMUSG00000064030","Pym1",0.113,0.113,5.65454028343824e-05,1,"SE"
"ENSMUSG00000039477","Tnrc18",0.125,-0.125,5.6780257952858e-05,1,"SE"
"ENSMUSG00000046798","Cldn12",0.112,0.112,5.6780257952858e-05,1,"SE"
"ENSMUSG00000021071","Trim9",0.201,0.201,5.72525237947919e-05,2,"SE"
"ENSMUSG00000041264","Uspl1",0.165,-0.165,5.78925058828962e-05,2,"SE"
"ENSMUSG00000021198","Unc79",0.285,0.285,5.84596770543621e-05,1,"SE"
"ENSMUSG00000085385","Snhg17",0.113,-0.113,5.87915123489566e-05,1,"RI"
"ENSMUSG00000033460","Armcx1",0.391,-0.391,6.04424084675103e-05,1,"A5SS"
"ENSMUSG00000040711","Sh3pxd2b",0.172,0.172,6.17558934727634e-05,1,"SE"
"ENSMUSG00000045349","Sh2d5",0.258,0.258,6.17558934727634e-05,2,"SE"
"ENSMUSG00000040111","Gramd1b",0.133,0.133,6.265064870653e-05,1,"SE"
"ENSMUSG00000034570","Inpp5j",0.311,-0.311,6.36685296645726e-05,1,"RI"
"ENSMUSG00000026082","Rev1",0.111,-0.111,6.57950000471446e-05,1,"SE"
"ENSMUSG00000020284","Cfap410",0.317,-0.317,6.65862699679625e-05,1,"SE"
"ENSMUSG00000056917","Sipa1",0.295,0.295,6.66291490053471e-05,2,"SE"
"ENSMUSG00000014856","Tmem208",0.145,-0.145,6.72179682503101e-05,1,"RI"
"ENSMUSG00000026958","Dpp7",0.158,-0.158,6.92684024645283e-05,1,"RI"
"ENSMUSG00000041258","Zfp236",0.124,0.124,6.98160478013703e-05,1,"SE"
"ENSMUSG00000078952","Lncenc1",0.195,0.195,6.98373217994322e-05,1,"SE"
"ENSMUSG00000027634","Ndrg3",0.113,0.113,7.3015169289544e-05,1,"SE"
"ENSMUSG00000001036","Epn2",0.122,0.122,7.70019309919651e-05,2,"SE"
"ENSMUSG00000072769","Gm10419",0.289,-0.289,7.7199473006156e-05,1,"A3SS"
"ENSMUSG00000036281","Snapc4",0.164,-0.164,7.76640955183628e-05,2,"SE,RI"
"ENSMUSG00000022701","Ccdc191",0.186,0.186,7.85526742502879e-05,1,"SE"
"ENSMUSG00000111447","Gm48249",0.357,0.357,7.85526742502879e-05,1,"SE"
"ENSMUSG00000032425","Zfp949",0.105,-0.105,7.9664955433762e-05,1,"SE"
"ENSMUSG00000029422","Rsrc2",0.133,-0.133,8.59740106300302e-05,1,"SE"
"ENSMUSG00000072501","Phf20l1",0.173,0.173,8.70202360366435e-05,3,"SE,A3SS,RI"
"ENSMUSG00000032387","Rbpms2",0.13,-0.13,8.81211816908548e-05,1,"A3SS"
"ENSMUSG00000110652","Gm33023",0.13,-0.13,9.19424120174834e-05,1,"SE"
"ENSMUSG00000087479","Gm16835",0.382,-0.382,9.29700907370769e-05,1,"SE"
"ENSMUSG00000121449","Pdxk-ps",0.243,-0.243,9.5615601370151e-05,1,"SE"
"ENSMUSG00000053158","Fes",0.112,-0.112,9.76654536025506e-05,1,"RI"
"ENSMUSG00000009555","Cdk9",0.106,-0.106,9.80843684335103e-05,1,"A3SS"
"ENSMUSG00000063849","Ppcdc",0.133,-0.133,9.80843684335103e-05,1,"A3SS"
"ENSMUSG00000020400","Tnip1",0.105,-0.105,9.86385485281311e-05,1,"SE"
"ENSMUSG00000029001","Fbxo44",0.149,-0.149,9.97834579262941e-05,1,"SE"
"ENSMUSG00000039110","Mycbpap",0.182,-0.182,0.0001006505010544,1,"RI"
"ENSMUSG00000026004","Kansl1l",0.168,-0.168,0.000100696773594069,1,"A3SS"
"ENSMUSG00000026672","Optn",0.128,-0.128,0.000104051389815665,2,"SE"
"ENSMUSG00000092569","Gm20544",0.647,-0.647,0.000104406995184422,2,"RI"
"ENSMUSG00000055923","Aasdh",0.268,0.268,0.000104640322013653,2,"SE"
"ENSMUSG00000032076","Cadm1",0.142,0.142,0.000107598174943054,2,"SE"
"ENSMUSG00000028687","Mutyh",0.236,0.236,0.000117113683865585,2,"SE,RI"
"ENSMUSG00000030345","Dyrk4",0.111,0.111,0.000118976248211211,1,"SE"
"ENSMUSG00000004952","Rasa4",0.157,-0.157,0.000121357781834491,1,"RI"
"ENSMUSG00000042439","Zfp532",0.249,0.249,0.000121807983286524,1,"SE"
"ENSMUSG00000048997","Atxn7l2",0.11,-0.11,0.000125067421802873,1,"RI"
"ENSMUSG00000031885","Cbfb",0.106,0.106,0.000125441534807171,1,"MXE"
"ENSMUSG00000012609","Ttll5",0.119,-0.119,0.0001263137649096,1,"SE"
"ENSMUSG00000073427","Gm4924",0.426,0.426,0.000129827181205971,2,"SE"
"ENSMUSG00000035642","Aamdc",0.156,-0.156,0.000130386073197813,2,"SE,MXE"
"ENSMUSG00000022983","Scaf4",0.171,-0.171,0.000131936472472832,2,"RI"
"ENSMUSG00000020732","Rab37",0.178,-0.178,0.000132455907333545,1,"SE"
"ENSMUSG00000029810","Tmem176b",0.225,0.225,0.00013436132024623,1,"SE"
"ENSMUSG00000079671","2610203C22Rik",0.117,0.117,0.000134592748575032,1,"SE"
"ENSMUSG00000086324","Gm15564",0.429,0.429,0.000134731150745085,1,"SE"
"ENSMUSG00000078498","Zfp988",0.29,0.29,0.000135770989700572,1,"SE"
"ENSMUSG00000013523","Bcas1",0.151,0.151,0.000137327647208671,2,"SE"
"ENSMUSG00000026773","Pfkfb3",0.127,0.127,0.000137958189414285,1,"SE"
"ENSMUSG00000033902","Mapkbp1",0.12,0.12,0.000138854636536258,1,"SE"
"ENSMUSG00000020070","Rufy2",0.102,-0.102,0.000140729301193923,1,"A3SS"
"ENSMUSG00000025337","Sbds",0.168,-0.168,0.000140729301193923,1,"A3SS"
"ENSMUSG00000015377","Dennd6b",0.142,-0.142,0.000145518640025306,1,"RI"
"ENSMUSG00000027263","Tubgcp4",0.173,-0.173,0.000147351464131598,2,"RI"
"ENSMUSG00000022674","Ube2v2",0.129,0.129,0.000152305644525748,1,"SE"
"ENSMUSG00000119993","Gm32085",0.479,-0.479,0.000152305644525748,3,"SE,A5SS"
"ENSMUSG00000035773","Kiss1r",0.231,-0.231,0.000153697280613771,2,"SE,RI"
"ENSMUSG00000030231","Plekha5",0.13,0.13,0.000154721940580891,2,"SE"
"ENSMUSG00000045251","Zfp688",0.101,-0.101,0.000156625548282831,1,"SE"
"ENSMUSG00000097571","Jpx",0.242,-0.242,0.000157722686902773,1,"SE"
"ENSMUSG00000107271","BC028471",0.161,-0.161,0.000157722686902773,1,"SE"
"ENSMUSG00000020863","Luc7l3",0.274,-0.274,0.000160819830638747,2,"SE"
"ENSMUSG00000030263","Irag2",0.4,0.4,0.000164390394169034,2,"SE,RI"
"ENSMUSG00000038564","Ift172",0.146,-0.146,0.000164390394169034,1,"RI"
"ENSMUSG00000050549","Fam241a",0.154,0.154,0.000166478503906857,1,"SE"
"ENSMUSG00000033102","Cdc14b",0.53,0.53,0.000169215324324696,3,"SE"
"ENSMUSG00000034343","Ube2f",0.159,0.159,0.000170361482754721,2,"SE,MXE"
"ENSMUSG00000043384","Gprasp1",0.116,-0.116,0.000170361482754721,2,"SE,MXE"
"ENSMUSG00000069601","Ank3",0.251,0.251,0.000174189054449646,5,"SE,A3SS"
"ENSMUSG00000031634","Ufsp2",0.129,-0.129,0.000176348592407567,1,"RI"
"ENSMUSG00000022617","Chkb",0.102,-0.102,0.000177167880435174,1,"RI"
"ENSMUSG00000017421","Zfp207",0.118,-0.118,0.000179183588215677,1,"SE"
"ENSMUSG00000031774","Psme3ip1",0.36,0.36,0.000184545359371775,1,"SE"
"ENSMUSG00000024485","Slc4a9",0.403,-0.403,0.000194381456300803,2,"SE,RI"
"ENSMUSG00000032525","Nktr",0.179,-0.179,0.000195011690381948,2,"A5SS,RI"
"ENSMUSG00000025464","Paox",0.104,-0.104,0.000196788169873013,1,"SE"
"ENSMUSG00000032127","Vps11",0.143,-0.143,0.00019987150027412,1,"RI"
"ENSMUSG00000034312","Iqsec1",0.213,0.213,0.000203414095322047,1,"SE"
"ENSMUSG00000030281","Il17rc",0.114,0.114,0.000203557484841374,1,"SE"
"ENSMUSG00000030960","Eef1akmt2",0.111,-0.111,0.00020546106696315,1,"SE"
"ENSMUSG00000085396","Firre",0.547,-0.547,0.000206097439282431,1,"SE"
"ENSMUSG00000074282","Zfp94",0.178,0.178,0.000206670021526904,1,"SE"
"ENSMUSG00000022124","Fbxl3",0.106,-0.106,0.000210391268798132,1,"MXE"
"ENSMUSG00000022948","Setd4",0.217,-0.217,0.000212681288948456,4,"SE,A5SS"
"ENSMUSG00000063659","Zbtb18",0.198,-0.198,0.000214420445889129,2,"SE"
"ENSMUSG00000035513","Ntng2",0.184,0.184,0.000214611740627023,1,"SE"
"ENSMUSG00000027478","Dnmt3b",0.239,0.239,0.000221331893572252,2,"SE,MXE"
"ENSMUSG00000034675","Dbn1",0.171,-0.171,0.00022300140248842,1,"RI"
"ENSMUSG00000057110","Cntrl",0.138,0.138,0.000224263100155005,1,"SE"
"ENSMUSG00000043923","Ccdc84",0.158,-0.158,0.000225336265830074,1,"A5SS"
"ENSMUSG00000010064","Slc38a3",0.14,-0.14,0.000225691229839935,1,"RI"
"ENSMUSG00000040940","Arhgef1",0.131,0.131,0.000225967412359808,1,"SE"
"ENSMUSG00000036304","Zdhhc23",0.212,0.212,0.000227449815566266,2,"A3SS"
"ENSMUSG00000027273","Snap25",0.111,-0.111,0.000239161961537944,1,"SE"
"ENSMUSG00000010086","Rnf112",0.368,-0.368,0.000243901099516242,2,"SE"
"ENSMUSG00000105068","Gm30835",0.158,0.158,0.000250968645773305,1,"SE"
"ENSMUSG00000029625","Cpsf4",0.114,-0.114,0.000253680060378327,2,"RI"
"ENSMUSG00000098098","Bvht",0.172,-0.172,0.000254012463930112,1,"A5SS"
"ENSMUSG00000000881","Dlg3",0.105,-0.105,0.000255064390297122,2,"MXE"
"ENSMUSG00000051510","Mafg",0.201,0.201,0.00025643802318943,2,"SE"
"ENSMUSG00000078671","Chd2",0.119,-0.119,0.00026224516045314,1,"SE"
"ENSMUSG00000049811","Fam161a",0.129,0.129,0.000264057140798722,1,"SE"
"ENSMUSG00000024073","Birc6",0.125,-0.125,0.000266979244688921,1,"SE"
"ENSMUSG00000039860","Srrm3",0.114,0.114,0.00026876094254613,1,"SE"
"ENSMUSG00000113585","Gm19605",0.349,0.349,0.000271108393066682,1,"SE"
"ENSMUSG00000029328","Hnrnpdl",0.135,-0.135,0.000274731490298617,1,"SE"
"ENSMUSG00000062604","Srpk2",0.343,0.343,0.000277246123778562,3,"SE,A3SS"
"ENSMUSG00000031671","Setd6",0.278,-0.278,0.00028535479141325,2,"SE"
"ENSMUSG00000028064","Sema4a",0.251,-0.251,0.000291015272638129,1,"RI"
"ENSMUSG00000074818","Pdzd7",0.109,0.109,0.000293312964848174,1,"SE"
"ENSMUSG00000038485","Socs7",0.183,0.183,0.000297304927191256,2,"SE"
"ENSMUSG00000040687","Madd",0.143,0.143,0.000297928868703475,1,"SE"
"ENSMUSG00000020131","Pcsk4",0.313,-0.313,0.000305532660300201,3,"SE,MXE"
"ENSMUSG00000037552","Plekhg2",0.12,0.12,0.000310727222626155,1,"RI"
"ENSMUSG00000044229","Nxpe4",0.198,0.198,0.000314714118745779,4,"SE"
"ENSMUSG00000100510","Hand2os1",0.308,0.308,0.00031990563030739,1,"SE"
"ENSMUSG00000037466","Tedc1",0.153,-0.153,0.00032009852642027,1,"A3SS"
"ENSMUSG00000023764","Sfi1",0.143,-0.143,0.00032334952964401,1,"RI"
"ENSMUSG00000023206","Il15ra",0.26,0.26,0.000323814026939444,3,"SE"
"ENSMUSG00000039275","Foxk2",0.253,-0.253,0.000327331485137548,1,"SE"
"ENSMUSG00000092165","Gm5624",0.124,0.124,0.000327339854512147,2,"SE"
"ENSMUSG00000039470","Zdhhc2",0.185,0.185,0.000347227357812573,1,"SE"
"ENSMUSG00000032064","Dixdc1",0.105,-0.105,0.000357925153403674,1,"RI"
"ENSMUSG00000117679","Apbb3",0.156,-0.156,0.000361866174391692,1,"RI"
"ENSMUSG00000022211","Carmil3",0.143,-0.143,0.000366748870862226,1,"RI"
"ENSMUSG00000023191","P3h3",0.14,-0.14,0.000367765371165464,1,"RI"
"ENSMUSG00000037533","Rapgef6",0.211,0.211,0.000368485976317547,2,"SE"
"ENSMUSG00000040123","Zmym5",0.114,0.114,0.000377227763422474,1,"SE"
"ENSMUSG00000097755","2010110K18Rik",0.23,-0.23,0.000391571270179137,3,"SE,RI"
"ENSMUSG00000087177","E130307A14Rik",0.324,-0.324,0.000392061214348815,6,"SE"
"ENSMUSG00000038696","Mapkap1",0.263,0.263,0.000395077248497826,1,"SE"
"ENSMUSG00000078784","Rbis",0.157,-0.157,0.000400751415923821,1,"RI"
"ENSMUSG00000097729","2310015A10Rik",0.192,0.192,0.000407925582054645,1,"A5SS"
"ENSMUSG00000039628","Hs3st6",0.455,0.455,0.000410304083344508,1,"SE"
"ENSMUSG00000030406","Gipr",0.159,-0.159,0.000411669106957379,1,"SE"
"ENSMUSG00000106918","Mrpl33",0.159,0.159,0.000415064852633111,1,"SE"
"ENSMUSG00000026721","Rabgap1l",0.14,-0.14,0.00041926708729702,1,"RI"
"ENSMUSG00000031389","Arhgap4",0.147,-0.147,0.00041926708729702,1,"RI"
"ENSMUSG00000037339","Fam53a",0.395,-0.395,0.000425008559418304,1,"A3SS"
"ENSMUSG00000035597","Prpf39",0.126,-0.126,0.000428683462664967,1,"SE"
"ENSMUSG00000000827","Tpd52l2",0.106,0.106,0.000429899112835956,1,"SE"
"ENSMUSG00000025813","Homer2",0.122,-0.122,0.000432365836941914,1,"A5SS"
"ENSMUSG00000035021","Baz1a",0.182,0.182,0.000440533447488646,2,"SE,A3SS"
"ENSMUSG00000040139","9430038I01Rik",0.186,-0.186,0.000441851244589695,1,"SE"
"ENSMUSG00000028487","Bnc2",0.136,0.136,0.000444651982563322,1,"SE"
"ENSMUSG00000027615","Hps3",0.122,-0.122,0.000445359779772204,1,"SE"
"ENSMUSG00000032182","Yipf2",0.216,0.216,0.000448380033732881,1,"SE"
"ENSMUSG00000030741","Spns1",0.183,-0.183,0.000448951937001195,1,"RI"
"ENSMUSG00000029528","Pxn",0.501,0.501,0.000449868046760911,1,"SE"
"ENSMUSG00000024726","Carnmt1",0.219,0.219,0.000450270231708783,2,"SE"
"ENSMUSG00000047021","Cfap65",0.196,-0.196,0.000453410528513037,3,"SE,MXE"
"ENSMUSG00000097039","Pvt1",0.211,-0.211,0.000453410528513037,7,"SE,A5SS,MXE"
"ENSMUSG00000052712","BC004004",0.189,-0.189,0.000455077797980286,1,"SE"
"ENSMUSG00000025060","Slk",0.103,-0.103,0.000457927108723037,1,"RI"
"ENSMUSG00000029478","Ncor2",0.145,-0.145,0.000460919086951993,1,"SE"
"ENSMUSG00000068699","Flnc",0.118,0.118,0.000460919086951993,1,"SE"
"ENSMUSG00000001995","Sipa1l2",0.123,0.123,0.000471744621888916,1,"SE"
"ENSMUSG00000028013","Ppa2",0.221,-0.221,0.000473076453027528,1,"SE"
"ENSMUSG00000024921","Smarca2",0.161,-0.161,0.000475827687232523,3,"SE"
"ENSMUSG00000078923","Ube2v1",0.119,0.119,0.000489555796845367,1,"A5SS"
"ENSMUSG00000022453","Naga",0.102,-0.102,0.00049839050576834,1,"SE"
"ENSMUSG00000024180","Pgap6",0.138,0.138,0.000501507535248474,2,"RI"
"ENSMUSG00000038346","Zfp384",0.393,0.393,0.000504050831118012,1,"RI"
"ENSMUSG00000022838","Eaf2",0.257,-0.257,0.000513778543465898,2,"SE"
"ENSMUSG00000025470","Zfp511",0.106,-0.106,0.000531414879838601,1,"RI"
"ENSMUSG00000028565","Nfia",0.238,0.238,0.000552253548699556,1,"SE"
"ENSMUSG00000030922","Lyrm1",0.351,0.351,0.000552463023740242,1,"SE"
"ENSMUSG00000087138","Gm15545",0.113,-0.113,0.000556773037817526,1,"SE"
"ENSMUSG00000052407","Ccdc171",0.201,0.201,0.000559375073688631,1,"SE"
"ENSMUSG00000022604","Cep97",0.111,0.111,0.000564267718258756,1,"SE"
"ENSMUSG00000015243","Abca1",0.16,0.16,0.000571507494680922,1,"SE"
"ENSMUSG00000024301","Kifc5b",0.121,0.121,0.000577802774270436,1,"SE"
"ENSMUSG00000024480","Ap3s1",0.757,-0.757,0.000578400887225834,1,"SE"
"ENSMUSG00000025494","Sigirr",0.282,-0.282,0.000579247121560944,1,"RI"
"ENSMUSG00000042870","Tom1",0.213,0.213,0.000581633249307326,3,"SE,MXE"
"ENSMUSG00000069631","Strada",0.157,0.157,0.000602301753398828,3,"SE,A5SS"
"ENSMUSG00000014873","Surf2",0.121,-0.121,0.00060563470719815,2,"RI"
"ENSMUSG00000028467","Gba2",0.243,-0.243,0.00062369356285039,1,"RI"
"ENSMUSG00000053332","Gas5",0.203,-0.203,0.000629098103955743,3,"A5SS,A3SS"
"ENSMUSG00000043019","Edem3",0.115,0.115,0.000635778430255848,2,"SE"
"ENSMUSG00000024871","Doc2g",0.125,0.125,0.000669742772864693,1,"RI"
"ENSMUSG00000028671","Gale",0.243,-0.243,0.000670122291161977,1,"A3SS"
"ENSMUSG00000043366","Or51e2",0.399,-0.399,0.000671722284162134,1,"SE"
"ENSMUSG00000006649","Nphs1",0.291,-0.291,0.000682847500035188,1,"SE"
"ENSMUSG00000039159","Ube2h",0.13,0.13,0.000683516245056237,1,"SE"
"ENSMUSG00000026527","Rgs7",0.247,0.247,0.000686295973082051,3,"SE"
"ENSMUSG00000018537","Pcgf2",0.328,-0.328,0.000699996299511696,1,"SE"
"ENSMUSG00000029673","Auts2",0.494,0.494,0.000706955641110917,4,"SE,A5SS,MXE"
"ENSMUSG00000004771","Rab11a",0.167,-0.167,0.000721898378352942,1,"SE"
"ENSMUSG00000045761","Togaram2",0.161,0.161,0.000722167580853768,1,"SE"
"ENSMUSG00000070047","Fat1",0.288,0.288,0.000723374244043817,4,"SE,MXE"
"ENSMUSG00000014355","Anapc1",0.16,-0.16,0.000725808744230392,1,"SE"
"ENSMUSG00000059890","Ube4a",0.191,-0.191,0.000729007131640944,1,"MXE"
"ENSMUSG00000033213","AA467197",0.217,-0.217,0.000733043013247745,1,"SE"
"ENSMUSG00000020231","Dip2a",0.168,0.168,0.000735208041510314,1,"SE"
"ENSMUSG00000022635","Zcrb1",0.163,-0.163,0.000759170680914049,1,"SE"
"ENSMUSG00000027630","Tbl1xr1",0.127,-0.127,0.000766952299439338,1,"SE"
"ENSMUSG00000035770","Dync1li2",0.276,-0.276,0.000769181720464315,1,"SE"
"ENSMUSG00000038569","Rad9b",0.22,0.22,0.000793885072414638,1,"A5SS"
"ENSMUSG00000029470","P2rx4",0.112,0.112,0.000794349425605419,1,"SE"
"ENSMUSG00000099481","Xndc1",0.157,-0.157,0.000794349425605419,1,"SE"
"ENSMUSG00000036528","Ppfibp2",0.114,0.114,0.000795244334296005,1,"SE"
"ENSMUSG00000027109","Sp3",0.137,0.137,0.000796796555908582,1,"MXE"
"ENSMUSG00000029060","Mib2",0.101,-0.101,0.000806005043630708,1,"RI"
"ENSMUSG00000057649","Brd9",0.168,-0.168,0.000806005043630708,3,"RI"
"ENSMUSG00000074887","EU599041",0.139,-0.139,0.000806405267909375,1,"SE"
"ENSMUSG00000032311","Nrg4",0.341,-0.341,0.000813848491480703,1,"A3SS"
"ENSMUSG00000022574","Naprt",0.293,-0.293,0.000828688010449298,1,"SE"
"ENSMUSG00000048029","Eno4",0.226,-0.226,0.000835981114338567,4,"SE,A3SS"
"ENSMUSG00000035215","Lsm7",0.169,-0.169,0.000843685889111173,1,"RI"
"ENSMUSG00000040990","Sh3kbp1",0.529,-0.529,0.000846972086302339,2,"SE,MXE"
"ENSMUSG00000004698","Hdac9",0.174,0.174,0.000855587308772159,2,"SE,A3SS"
"ENSMUSG00000020717","Pecam1",0.118,0.118,0.000884537230798935,1,"SE"
"ENSMUSG00000022871","Fetub",0.102,-0.102,0.000884537230798935,1,"SE"
"ENSMUSG00000055720","Ubl7",0.462,0.462,0.000887228215938786,1,"A3SS"
"ENSMUSG00000006476","Nsmf",0.141,0.141,0.000888691268343264,2,"SE,MXE"
"ENSMUSG00000027655","Dhx35",0.108,-0.108,0.00089285336180952,1,"RI"
"ENSMUSG00000003131","Pafah1b2",0.491,-0.491,0.000893996380585415,1,"SE"
"ENSMUSG00000045679","Pqlc3",0.234,-0.234,0.000894816080795114,3,"SE,A3SS"
"ENSMUSG00000053617","Sh3pxd2a",0.181,0.181,0.000899116199034486,2,"SE"
"ENSMUSG00000036578","Fxyd7",0.198,0.198,0.000914872697111681,1,"SE"
"ENSMUSG00000038618","Rassf7",0.12,-0.12,0.000938360937500695,2,"SE"
"ENSMUSG00000033335","Dnm2",0.118,0.118,0.000947054302203747,1,"SE"
"ENSMUSG00000003813","Rad23a",0.209,-0.209,0.000948284233830729,1,"SE"
"ENSMUSG00000026959","Grin1",0.151,0.151,0.000948284233830729,1,"SE"
"ENSMUSG00000038637","Lrrc56",0.178,-0.178,0.000955703180094763,1,"RI"
"ENSMUSG00000026873","Phf19",0.179,-0.179,0.00095682049486633,1,"SE"
"ENSMUSG00000059939","9430015G10Rik",0.111,-0.111,0.000972539108508488,1,"RI"
"ENSMUSG00000036768","Kif15",0.143,0.143,0.000982195229411084,1,"SE"
"ENSMUSG00000022228","Zscan26",0.195,-0.195,0.00098798154981665,1,"SE"
"ENSMUSG00000024238","Zeb1",0.273,0.273,0.000989570895247771,1,"SE"
