"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030900","forebrain development","36/1007","480/28928",0.075,2.1545183714002,4.84391535953916,1.5672630594146e-05,0.000914479771179354,0.000740085787420014,"Hspa8/Nf1/Nrg1/Numbl/Ezh2/D16Ertd472e/Atg16l1/Fos/Chd5/Tra2b/Zeb1/Isl1/Ncor1/Elavl4/Gmppa/Otx1/Kcnq2/Numb/Plxna4/Ptprs/Flna/Plxna3/Zbtb18/Scyl2/Kat2a/Zdhhc16/Ncam1/Creb1/Lrp8/Ttbk2/Grin1/Chrd/Nf2/Ndel1/Atg7/Tacc2",36
"GO:0009306","protein secretion","34/1007","443/28928",0.0767494356659142,2.20477425515746,4.85288923082943,1.66690977865299e-05,0.000961442904515024,0.000778092913011886,"Slc9b2/Neo1/Pla2g6/Hps1/Gipr/Myo18a/Sel1l/Abat/Isl1/Snx19/Dnm1l/Copg2/Cask/Abca1/Zfp384/Pparg/Rfx3/Lmf1/Brsk2/Aacs/Idua/Ppid/Map4k4/Hmgn3/Atp13a2/Gpld1/Madd/Cacna1c/Slc16a1/Dgat1/Atg7/Rims2/Gsdmd/Clock",34
"GO:0150115","cell-substrate junction organization","14/1007","105/28928",0.133333333333333,3.83025488248924,5.51761705883046,1.69376639090959e-05,0.000965831789725491,0.000781644824895837,"Sorbs1/Macf1/Camsap3/Slk/Peak1/Dmtn/Cttn/Dst/Itgav/Iqsec1/Clasp2/Map4k4/Plec/Ptk2",14
"GO:0051258","protein polymerization","26/1007","297/28928",0.0875420875420875,2.51481381173536,4.98333600985962,1.7673511406455e-05,0.000996468317276303,0.000806438876476679,"Eml2/Mapt/Map2/Ssh3/Mtss1/Septin2/Kank3/Bin1/Camsap3/Nckap1l/Cyrib/Cdk5rap2/Dmtn/Washc3/Cttn/Ube2k/Dctn1/Clasp2/Zfp207/Chmp3/Haus2/Nckap1/Evl/Ndel1/Inpp5j/Sptan1",26
"GO:0030705","cytoskeleton-dependent intracellular transport","21/1007","212/28928",0.0990566037735849,2.84559030184932,5.12203104335927,1.80227004313181e-05,0.00100486567515949,0.000813234833497372,"Hspa8/Mapt/Ap3d1/Map2/Dync1i2/Ank3/Atg16l1/Myo19/Copg2/Camsap3/Ccdc38/Rpgr/Ap3s1/Actn4/Dst/Terf2/Madd/Kif1b/Trim46/Klc1/Ndel1",21
"GO:0032886","regulation of microtubule-based process","25/1007","280/28928",0.0892857142857143,2.56490282309547,4.99712466929191,1.82596401798584e-05,0.00100688872991791,0.000814872085759325,"Eml2/Mapt/Ccnl2/Map2/Agrn/Pkd1/Macf1/Camsap3/Cep70/Cdk5rap2/Dctn1/Ccnl1/Clasp2/Chmp3/Kat2a/Bbof1/Ccdc40/Cib1/Ttbk2/Stmn4/Trim46/Eml4/Inpp5j/Mdm1/Tacc2",25
"GO:0035592","establishment of protein localization to extracellular region","34/1007","446/28928",0.0762331838565022,2.18994393505551,4.80960750825412,1.91568508909831e-05,0.00104488128011905,0.000845619344821655,"Slc9b2/Neo1/Pla2g6/Hps1/Gipr/Myo18a/Sel1l/Abat/Isl1/Snx19/Dnm1l/Copg2/Cask/Abca1/Zfp384/Pparg/Rfx3/Lmf1/Brsk2/Aacs/Idua/Ppid/Map4k4/Hmgn3/Atp13a2/Gpld1/Madd/Cacna1c/Slc16a1/Dgat1/Atg7/Rims2/Gsdmd/Clock",34
"GO:1905475","regulation of protein localization to membrane","22/1007","230/28928",0.0956521739130435,2.74779154613359,5.05392375247993,1.98816395686008e-05,0.00105868712117158,0.000856792371353645,"Stac/Agrn/Picalm/Camk2d/Ank3/Mief2/Sorbs1/Ppfia1/Dlg4/Tcaf1/Tnik/Epb41l1/Hpca/Wnk1/Numb/Mff/Dmtn/Gripap1/Clasp2/Camk2g/Cib1/Cacnb3",22
"GO:1902115","regulation of organelle assembly","23/1007","247/28928",0.0931174089068826,2.67497557582751,5.02065939178155,2.00263807852629e-05,0.00105868712117158,0.000856792371353645,"Pan2/Sh3glb1/Dzip1/Elapor1/Pikfyve/Vps11/Stam/Rabep2/Crocc/Becn1/Cdk5rap2/Ptprs/Cnot2/Chmp3/Kat2a/Hsf1/Sec22b/Ttbk2/Odf2l/Limk2/Ubap2l/Nf2/Mdm1",23
"GO:1990778","protein localization to cell periphery","32/1007","409/28928",0.078239608801956,2.24758232713305,4.82574834280402,2.0042900859167e-05,0.00105868712117158,0.000856792371353645,"L1cam/Stac/Picalm/Camk2d/Ank3/Sorbs1/Ppfia1/Dlg4/Mapk10/Tnik/Epb41l1/Zdhhc3/Wnk1/Macf1/Numb/Cask/Nrxn3/Flna/Snap23/Gripap1/Scrib/Epb41l2/Clasp2/Camk2g/Tsc2/Cib1/Sys1/Ppil2/Kif1b/Cacnb3/Grin1/Epb41l3",32
