ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
218	29,29,41	0,9,3	81,72,72	15,23,6	162	149
219	2,9,2	1,0,0	3,9,16	2,0,0	162	149
220	16,22,27	68,54,45	22,25,20	73,106,83	289	149
222	106,138,176	0,0,1	111,223,151	0,0,0	178	149
223	1,6,3	5,0,0	7,5,6	2,0,2	152	149
224	419,397,437	103,124,111	449,526,466	137,200,131	152	149
225	663,698,753	63,69,78	758,938,1074	54,46,84	152	149
226	252,261,264	4,2,4	183,325,217	2,1,3	206	149
228	3918,3755,3643	0,0,1	3824,4606,4732	0,0,0	298	149
229	29,45,39	5536,6197,5638	91,104,81	8237,9874,8803	170	149
230	12,20,11	0,3,2	34,27,21	6,1,0	152	149
232	14,12,12	278,230,276	15,27,39	354,448,366	163	149
234	174,166,173	0,0,0	138,237,212	0,6,0	189	149
235	11,10,9	154,144,152	4,1,6	128,161,132	177	149
236	16,6,13	26,23,22	4,10,19	41,26,43	242	149
237	16,7,15	4,1,8	12,10,22	10,7,21	261	149
238	26,24,24	4,1,8	49,26,46	10,7,21	168	149
240	11,6,15	1,0,0	46,68,47	0,0,2	298	149
244	42,64,44	11,6,9	38,52,44	19,14,10	154	149
247	229,233,189	2,1,1	102,149,151	0,0,4	180	149
248	10,16,15	2,0,1	19,7,25	0,0,0	181	149
249	31,42,38	192,218,201	40,27,38	150,260,216	279	149
250	1118,1198,1208	2,0,0	1286,1633,1553	0,0,0	298	149
251	611,652,693	0,0,0	581,818,779	1,0,0	298	149
253	87,71,97	30,22,51	53,59,64	29,34,25	197	149
254	91,103,105	36,42,37	72,80,70	25,21,38	200	149
255	2,5,9	0,0,1	4,3,1	2,2,0	231	149
258	486,480,458	2,0,2	328,274,330	2,2,0	272	149
259	628,639,577	2,0,0	466,576,604	0,0,0	154	149
260	15,33,26	0,0,2	20,31,22	0,0,0	154	149
261	282,298,309	5,1,0	347,411,415	0,2,3	298	149
262	36,33,23	1,0,4	36,20,26	0,0,2	152	149
263	284,259,270	14,11,7	358,385,399	5,16,19	152	149
264	0,0,0	28,39,33	3,0,0	58,51,37	172	149
265	38,40,30	0,0,2	13,49,39	0,0,0	196	149
266	31,10,16	123,132,168	8,11,11	139,174,149	204	149
268	284,261,299	1,4,0	417,472,446	0,0,6	232	149
269	91,145,156	1,0,0	189,166,182	1,2,0	232	149
271	550,502,590	0,1,0	465,422,456	0,0,0	298	149
272	3,0,1	20,18,2	0,2,8	14,29,14	200	149
275	18,23,24	175,166,196	11,14,13	145,157,192	184	149
279	198,222,205	32,63,63	153,112,205	65,36,26	152	149
280	12,0,4	520,458,533	10,2,0	365,432,399	298	149
281	170,143,185	1,0,2	153,233,210	1,0,0	202	149
282	347,369,410	174,218,171	362,436,426	101,164,154	168	149
283	2,3,0	4,1,0	5,5,2	2,1,3	153	149
284	68,74,108	193,280,250	45,74,77	145,240,174	153	149
285	487,410,564	1,2,0	309,407,436	10,8,4	298	149
