"GeneID","geneSymbol","neg_n_sig","neg_event_types","neg_n_SE","neg_n_microexon","neg_n_inclusion","neg_n_exclusion","neg_mean_dPSI","neg_mean_abs_dPSI","pos_n_sig","pos_event_types","pos_n_SE","pos_n_microexon","pos_n_inclusion","pos_n_exclusion","pos_mean_dPSI","pos_mean_abs_dPSI"
"ENSMUSG00000024480","Ap3s1",1,"SE",1,0,0,1,-0.757,0.757,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024485","Slc4a9",2,"RI,SE",1,0,1,1,-0.0695,0.3335,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024603","Dctn4",1,"SE",1,1,1,0,0.164,0.164,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024908","Ppp6r3",2,"A3SS,SE",1,1,1,1,0.03,0.181,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024983","Vti1a",2,"SE",2,2,2,0,0.214,0.214,1,"SE",1,1,1,0,0.171,0.171
"ENSMUSG00000025006","Sorbs1",7,"A3SS,MXE,SE",5,1,4,3,0.0384,0.1727,4,"A3SS,SE",3,0,2,2,0.0348,0.1683
"ENSMUSG00000026005","Rpe",1,"A5SS",0,0,1,0,0.126,0.126,1,"SE",1,1,1,0,0.122,0.122
"ENSMUSG00000026113","Inpp4a",3,"A5SS,SE",2,1,2,1,0.1007,0.1733,3,"A5SS,SE",2,0,2,1,0.0747,0.166
"ENSMUSG00000026388","3110009E18Rik",3,"MXE,SE",1,0,1,2,-0.0387,0.1633,3,"MXE,SE",2,0,2,1,0.042,0.1273
"ENSMUSG00000026737","Pip4k2a",1,"SE",1,0,0,1,-0.154,0.154,0,"",0,0,0,0,NA,NA
"ENSMUSG00000026781","Acbd5",1,"SE",1,0,1,0,0.171,0.171,0,"",0,0,0,0,NA,NA
"ENSMUSG00000026825","Dnm1",1,"SE",1,0,0,1,-0.104,0.104,0,"",0,0,0,0,NA,NA
"ENSMUSG00000026860","Sh3glb2",1,"SE",1,1,1,0,0.228,0.228,3,"RI,SE",2,1,1,2,-0.141,0.2137
"ENSMUSG00000026946","Nmi",1,"SE",1,0,1,0,0.198,0.198,0,"",0,0,0,0,NA,NA
"ENSMUSG00000026977","Marchf7",1,"SE",1,1,1,0,0.187,0.187,0,"",0,0,0,0,NA,NA
"ENSMUSG00000026999","Nup35",1,"SE",1,0,0,1,-0.356,0.356,0,"",0,0,0,0,NA,NA
"ENSMUSG00000027130","Slc12a6",1,"SE",1,0,1,0,0.131,0.131,0,"",0,0,0,0,NA,NA
"ENSMUSG00000027506","Tpd52",1,"SE",1,1,1,0,0.314,0.314,1,"SE",1,1,1,0,0.115,0.115
"ENSMUSG00000027523","Gnas",1,"SE",1,1,1,0,0.15,0.15,0,"",0,0,0,0,NA,NA
"ENSMUSG00000027634","Ndrg3",1,"SE",1,0,1,0,0.113,0.113,0,"",0,0,0,0,NA,NA
"ENSMUSG00000027646","Src",1,"SE",1,1,1,0,0.119,0.119,0,"",0,0,0,0,NA,NA
"ENSMUSG00000027799","Nbea",1,"SE",1,1,1,0,0.201,0.201,0,"",0,0,0,0,NA,NA
"ENSMUSG00000028033","Kcnq5",1,"SE",1,1,1,0,0.353,0.353,0,"",0,0,0,0,NA,NA
"ENSMUSG00000028184","Adgrl2",4,"A5SS,SE",3,2,2,2,-0.0855,0.258,3,"A3SS,SE",2,1,1,2,-0.0603,0.135
"ENSMUSG00000028207","Asph",1,"SE",1,0,1,0,0.119,0.119,2,"SE",2,0,1,1,-0.003,0.121
"ENSMUSG00000028433","Ubap2",1,"SE",1,0,1,0,0.109,0.109,0,"",0,0,0,0,NA,NA
"ENSMUSG00000028931","Kcnab2",1,"SE",1,0,1,0,0.133,0.133,0,"",0,0,0,0,NA,NA
"ENSMUSG00000029055","Plch2",2,"RI,SE",1,1,1,1,-0.05,0.194,4,"A5SS,RI",0,0,0,4,-0.2212,0.2212
"ENSMUSG00000029148","Nrbp1",1,"SE",1,1,1,0,0.114,0.114,0,"",0,0,0,0,NA,NA
"ENSMUSG00000029152","Ociad1",1,"SE",1,0,0,1,-0.116,0.116,0,"",0,0,0,0,NA,NA
"ENSMUSG00000029780","Nt5c3",1,"SE",1,0,1,0,0.166,0.166,0,"",0,0,0,0,NA,NA
"ENSMUSG00000030172","Erc1",2,"SE",2,1,2,0,0.1455,0.1455,0,"",0,0,0,0,NA,NA
"ENSMUSG00000030263","Irag2",2,"RI,SE",1,0,1,1,0.03,0.37,1,"RI",0,0,0,1,-0.189,0.189
"ENSMUSG00000030279","C2cd5",1,"SE",1,0,1,0,0.132,0.132,0,"",0,0,0,0,NA,NA
"ENSMUSG00000030281","Il17rc",1,"SE",1,0,1,0,0.114,0.114,0,"",0,0,0,0,NA,NA
"ENSMUSG00000030987","Stim1",1,"SE",1,0,1,0,0.188,0.188,0,"",0,0,0,0,NA,NA
"ENSMUSG00000031012","Cask",2,"SE",2,1,2,0,0.1385,0.1385,2,"MXE,SE",1,0,2,0,0.135,0.135
"ENSMUSG00000031105","Slc25a14",1,"SE",1,0,1,0,0.299,0.299,2,"SE",2,0,1,1,0.05,0.217
"ENSMUSG00000031314","Taf1",1,"SE",1,1,1,0,0.201,0.201,0,"",0,0,0,0,NA,NA
"ENSMUSG00000032297","Celf6",1,"MXE",0,0,1,0,0.103,0.103,0,"",0,0,0,0,NA,NA
"ENSMUSG00000032570","Atp2c1",1,"SE",1,1,1,0,0.168,0.168,0,"",0,0,0,0,NA,NA
"ENSMUSG00000032586","Traip",2,"MXE,SE",1,0,0,2,-0.133,0.133,0,"",0,0,0,0,NA,NA
"ENSMUSG00000032826","Ank2",2,"SE",2,1,2,0,0.165,0.165,1,"A3SS",0,0,0,1,-0.118,0.118
"ENSMUSG00000033335","Dnm2",1,"SE",1,1,1,0,0.118,0.118,0,"",0,0,0,0,NA,NA
"ENSMUSG00000033382","Trappc8",1,"SE",1,1,1,0,0.11,0.11,0,"",0,0,0,0,NA,NA
"ENSMUSG00000033392","Clasp2",1,"SE",1,1,1,0,0.252,0.252,1,"SE",1,1,0,1,-0.131,0.131
"ENSMUSG00000033419","Snap91",3,"MXE,SE",2,1,3,0,0.192,0.192,1,"MXE",0,0,0,1,-0.145,0.145
"ENSMUSG00000033902","Mapkbp1",1,"SE",1,1,1,0,0.12,0.12,0,"",0,0,0,0,NA,NA
"ENSMUSG00000034908","Sidt2",2,"SE",2,1,2,0,0.136,0.136,0,"",0,0,0,0,NA,NA
"ENSMUSG00000034973","Dop1a",2,"A3SS,SE",1,1,1,1,-0.0035,0.1985,0,"",0,0,0,0,NA,NA
"ENSMUSG00000035954","Dock4",1,"SE",1,1,1,0,0.164,0.164,0,"",0,0,0,0,NA,NA
"ENSMUSG00000036104","Rab3gap1",1,"SE",1,1,1,0,0.191,0.191,0,"",0,0,0,0,NA,NA
"ENSMUSG00000036528","Ppfibp2",1,"SE",1,0,1,0,0.114,0.114,0,"",0,0,0,0,NA,NA
"ENSMUSG00000036529","Sbf1",1,"SE",1,1,1,0,0.134,0.134,0,"",0,0,0,0,NA,NA
"ENSMUSG00000036578","Fxyd7",1,"SE",1,1,1,0,0.198,0.198,0,"",0,0,0,0,NA,NA
"ENSMUSG00000036591","Arhgap21",1,"SE",1,1,1,0,0.21,0.21,0,"",0,0,0,0,NA,NA
"ENSMUSG00000037533","Rapgef6",2,"SE",2,1,1,1,0.014,0.197,0,"",0,0,0,0,NA,NA
"ENSMUSG00000037541","Shank2",1,"SE",1,1,1,0,0.216,0.216,0,"",0,0,0,0,NA,NA
"ENSMUSG00000037697","Ddhd1",3,"SE",3,1,3,0,0.1813,0.1813,3,"MXE,SE",2,0,2,1,0.1013,0.186
"ENSMUSG00000037736","Limch1",1,"SE",1,0,0,1,-0.131,0.131,0,"",0,0,0,0,NA,NA
"ENSMUSG00000037857","Nufip2",1,"SE",1,0,1,0,0.315,0.315,0,"",0,0,0,0,NA,NA
"ENSMUSG00000039860","Srrm3",1,"SE",1,1,1,0,0.114,0.114,0,"",0,0,0,0,NA,NA
"ENSMUSG00000039943","Plcb4",1,"SE",1,0,1,0,0.112,0.112,0,"",0,0,0,0,NA,NA
"ENSMUSG00000040111","Gramd1b",1,"SE",1,1,1,0,0.133,0.133,0,"",0,0,0,0,NA,NA
"ENSMUSG00000040537","Adam22",1,"SE",1,1,1,0,0.13,0.13,0,"",0,0,0,0,NA,NA
"ENSMUSG00000040687","Madd",1,"SE",1,1,1,0,0.143,0.143,2,"A5SS",0,0,2,0,0.165,0.165
"ENSMUSG00000040940","Arhgef1",1,"SE",1,1,1,0,0.131,0.131,2,"A3SS,SE",1,0,1,1,-0.0125,0.2345
"ENSMUSG00000041609","Bicdl1",2,"SE",2,1,2,0,0.1625,0.1625,2,"SE",2,0,1,1,-0.0035,0.1055
"ENSMUSG00000041977","Arhgef11",1,"SE",1,1,1,0,0.146,0.146,1,"SE",1,0,0,1,-0.106,0.106
"ENSMUSG00000043323","Fbrsl1",2,"SE",2,0,0,2,-0.136,0.136,2,"MXE,SE",1,1,2,0,0.1775,0.1775
"ENSMUSG00000043831","Lysmd4",1,"SE",1,1,1,0,0.106,0.106,1,"SE",1,1,0,1,-0.241,0.241
"ENSMUSG00000045482","Trrap",2,"SE",2,1,2,0,0.287,0.287,0,"",0,0,0,0,NA,NA
"ENSMUSG00000045983","Eif4g1",1,"SE",1,1,1,0,0.166,0.166,0,"",0,0,0,0,NA,NA
"ENSMUSG00000048078","Tenm4",2,"SE",2,1,2,0,0.1475,0.1475,0,"",0,0,0,0,NA,NA
"ENSMUSG00000048537","Phldb1",2,"A5SS,SE",1,0,1,1,0.0245,0.1255,0,"",0,0,0,0,NA,NA
"ENSMUSG00000050270","Tmem220",1,"MXE",0,1,0,1,-0.111,0.111,0,"",0,0,0,0,NA,NA
"ENSMUSG00000050549","Fam241a",1,"SE",1,0,1,0,0.154,0.154,0,"",0,0,0,0,NA,NA
"ENSMUSG00000051510","Mafg",2,"SE",2,0,2,0,0.179,0.179,1,"SE",1,0,1,0,0.103,0.103
"ENSMUSG00000053617","Sh3pxd2a",2,"SE",2,0,2,0,0.145,0.145,0,"",0,0,0,0,NA,NA
"ENSMUSG00000056486","Chn1",3,"SE",3,1,0,3,-0.1557,0.1557,2,"SE",2,0,0,2,-0.1575,0.1575
"ENSMUSG00000056917","Sipa1",2,"SE",2,1,2,0,0.2805,0.2805,0,"",0,0,0,0,NA,NA
"ENSMUSG00000057541","Pus7",1,"SE",1,1,1,0,0.11,0.11,0,"",0,0,0,0,NA,NA
"ENSMUSG00000057858","Fam204a",6,"SE",6,0,0,6,-0.1435,0.1435,6,"MXE,SE",5,0,0,6,-0.1738,0.1738
"ENSMUSG00000059291","Rpl11",1,"SE",1,0,1,0,0.139,0.139,1,"SE",1,0,1,0,0.169,0.169
"ENSMUSG00000059439","Bcas3",1,"SE",1,0,1,0,0.293,0.293,1,"SE",1,0,1,0,0.231,0.231
"ENSMUSG00000062991","Nrg1",3,"MXE,SE",2,1,0,3,-0.198,0.198,2,"SE",2,0,0,2,-0.176,0.176
"ENSMUSG00000063919","Srrm4",1,"SE",1,1,1,0,0.128,0.128,0,"",0,0,0,0,NA,NA
"ENSMUSG00000064179","Tnnt1",1,"SE",1,0,1,0,0.147,0.147,2,"SE",2,0,0,2,-0.157,0.157
"ENSMUSG00000066392","Nrxn3",1,"SE",1,1,0,1,-0.277,0.277,1,"SE",1,1,0,1,-0.107,0.107
"ENSMUSG00000066551","Hmgb1",1,"SE",1,0,0,1,-0.178,0.178,0,"",0,0,0,0,NA,NA
"ENSMUSG00000068036","Afdn",1,"SE",1,0,1,0,0.179,0.179,0,"",0,0,0,0,NA,NA
"ENSMUSG00000069631","Strada",3,"A5SS,SE",2,1,3,0,0.135,0.135,3,"MXE,SE",2,3,1,2,-0.0473,0.1627
"ENSMUSG00000071291","Zfp58",1,"SE",1,1,0,1,-0.104,0.104,0,"",0,0,0,0,NA,NA
"ENSMUSG00000074282","Zfp94",1,"SE",1,0,1,0,0.178,0.178,0,"",0,0,0,0,NA,NA
"ENSMUSG00000097451","Rian",3,"A5SS,MXE,SE",1,0,2,1,0.022,0.158,6,"A3SS,A5SS,MXE,RI,SE",2,0,2,4,-0.0445,0.2548
"ENSMUSG00000097589","Dleu2",2,"MXE,SE",1,0,0,2,-0.14,0.14,1,"SE",1,0,0,1,-0.206,0.206
"ENSMUSG00000117284","Gm7072",1,"MXE",0,0,1,0,0.141,0.141,0,"",0,0,0,0,NA,NA
"ENSMUSG00000118669","Arvcf",1,"SE",1,1,1,0,0.166,0.166,1,"MXE",0,0,1,0,0.123,0.123
