ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
58617	113,195,132	2,0,0	103,126,119	3,1,0	336	149
58618	113,192,132	3,3,3	103,126,120	4,0,3	336	149
58621	83,131,114	2,0,0	118,122,104	3,1,0	263	149
58623	23,28,44	2,3,0	14,12,7	0,0,0	263	149
58624	87,147,115	0,0,0	118,128,107	1,0,0	263	149
58625	10,32,17	0,2,0	8,11,8	0,0,0	263	149
58626	244,343,306	0,3,0	278,267,316	0,0,0	263	149
58628	66,161,94	1,3,0	109,93,138	0,0,0	284	149
58629	121,157,133	1,3,0	113,118,149	0,0,0	470	149
58631	31,39,34	1,3,0	14,14,34	0,0,0	289	149
58632	31,42,29	1,3,0	13,14,32	0,0,0	284	149
58633	96,122,97	35,40,41	36,44,36	14,14,34	235	149
58634	40,30,21	84,172,126	13,19,3	127,116,164	235	149
58635	65,109,92	3,3,3	91,64,44	4,0,3	213	149
58637	64,106,92	0,0,4	91,64,44	0,0,0	213	149
58639	1882,2069,1545	2,1,0	1494,1512,1591	0,0,0	248	149
58640	891,1201,840	0,0,0	811,731,810	1,0,1	210	149
58641	710,910,724	2,13,6	599,570,722	1,0,3	221	149
58642	2,0,0	0,3,0	1,0,0	0,0,0	271	149
58644	186,171,145	2,0,0	178,175,188	0,0,9	288	149
58645	387,469,328	0,3,0	266,343,328	0,0,0	368	149
58649	122,92,118	0,5,0	117,122,111	0,0,2	216	149
58650	113,87,108	0,1,0	106,114,110	0,0,0	216	149
58651	4,7,12	367,425,369	20,16,34	266,361,271	228	149
58652	706,835,657	9,7,10	470,617,495	11,8,1	277	149
58653	351,415,361	0,2,0	268,354,265	0,0,0	277	149
58654	858,1011,709	0,1,0	597,639,656	0,0,0	481	149
58655	867,1013,719	0,2,0	608,647,655	0,0,0	481	149
58656	1219,1426,1005	6,0,0	806,902,895	7,0,0	481	149
58657	963,1108,733	9,13,4	691,665,776	2,6,6	399	149
58658	440,602,414	0,0,1	374,350,351	0,0,0	295	149
58659	312,440,308	2,0,2	305,198,239	0,0,0	285	149
58660	623,801,578	0,0,0	507,601,610	0,2,1	339	149
58662	247,279,279	0,2,0	183,172,205	0,0,0	172	149
58663	9,3,16	134,132,128	6,11,9	132,93,98	440	149
58664	3205,3905,2959	0,0,2	2756,2290,2566	0,0,1	334	149
58665	2960,3641,2399	1,0,0	2432,2079,2253	0,4,1	253	149
58666	2618,2892,1933	0,0,0	1972,1663,1847	2,0,0	260	149
58667	2853,3429,2523	23,10,16	2488,2373,2634	4,6,7	264	149
58668	930,1108,790	0,6,1	858,779,892	0,1,0	264	149
58669	1710,2123,1502	0,6,1	1517,1481,1702	0,1,0	225	149
58670	3611,4444,3230	5,10,12	3151,3072,3445	4,2,8	225	149
58671	3381,3967,3142	0,2,0	2738,2820,3229	0,0,1	350	149
58673	1531,1663,1438	12,13,18	1509,1211,1277	2,7,7	289	149
58674	803,910,809	0,1,0	784,528,704	0,0,1	261	149
58675	1802,2010,1542	0,0,0	1676,1298,1533	1,0,0	239	149
58676	1692,1830,1383	2,0,9	1598,1306,1597	8,3,2	241	149
58677	515,543,446	6,6,1	511,362,431	0,0,1	241	149
58678	3161,3664,2259	6,6,1	2722,2707,2823	0,0,1	357	149
58679	4342,4958,3197	2,3,3	3814,3666,4017	0,3,0	357	149
58680	1491,1593,1046	2,0,0	1299,1233,1357	3,5,0	295	149
58681	1933,2443,1580	3,0,0	1895,1650,1885	1,0,1	250	149
58682	570,704,549	40,26,50	401,369,436	25,23,19	295	149
58683	317,346,283	40,26,50	214,192,218	25,23,19	292	149
58684	100,98,90	0,0,0	66,63,62	0,3,0	196	149
58685	342,506,366	0,0,2	360,272,303	0,0,0	278	149
58686	505,699,407	0,1,2	377,422,433	0,0,0	463	149
58687	3323,3845,2602	16,20,19	2214,2309,2666	15,17,12	411	149
58688	8,16,12	1448,1535,1393	6,0,9	1014,1056,1159	297	149
58689	5,3,1	3,12,5	0,1,2	5,3,0	285	149
58690	12,20,12	1448,1535,1393	10,6,0	1014,1056,1159	301	149
58691	9,8,7	6,16,6	5,3,0	6,6,9	301	149
58692	9,15,4	1,5,0	7,6,1	1,1,4	217	149
58693	719,825,706	3,7,6	734,725,668	2,2,1	290	149
58694	913,951,769	17,16,6	723,734,886	0,1,2	204	149
58695	1690,1848,1400	0,4,1	1364,1315,1416	0,0,0	259	149
58696	780,924,737	0,1,2	657,673,721	0,0,0	259	149
58697	335,308,208	0,1,2	285,217,249	0,0,0	221	149
58698	1219,1214,865	0,0,0	978,848,933	0,2,0	221	149
58699	1211,1211,798	12,12,2	994,857,930	7,4,2	223	149
58700	269,204,201	1735,2148,1599	107,95,133	1349,1270,1379	201	149
58701	3466,4405,3333	0,3,4	2544,2477,2734	1,0,7	342	149
58702	1111,1174,1002	2,0,0	776,722,809	0,0,0	267	149
58703	1746,1919,1497	6,6,3	1196,1095,1306	3,3,9	212	149
58704	580,678,442	4,0,0	356,320,426	0,0,2	212	149
58705	1644,1845,1446	0,2,0	1153,1148,1335	0,0,0	278	149
58706	1421,1620,1282	0,0,2	1069,800,950	0,0,0	194	149
58707	786,1192,767	0,0,0	917,858,936	1,0,0	278	149
58708	711,988,724	0,3,1	764,627,818	1,0,0	235	149
58709	3499,4213,3229	0,0,1	2253,1931,2201	2,0,0	224	149
58710	714,891,694	0,0,1	562,499,571	2,0,0	221	149
58711	3638,4432,3023	2,2,6	2523,2358,2579	6,5,3	272	149
58712	2845,3137,2359	16,8,10	2068,1779,2045	5,6,10	255	149
58713	614,929,597	0,0,1	491,468,710	0,0,0	305	149
58714	636,1022,696	0,0,0	508,499,717	1,0,0	269	149
58715	1038,1538,968	0,6,0	775,778,1080	0,0,0	555	149
58716	4341,5899,4468	0,6,0	4007,3904,4980	0,0,0	2690	149
58717	1737,2108,1682	0,0,7	1545,1475,1920	0,0,0	1169	149
58718	1691,2047,1628	3,0,0	1512,1415,1873	0,0,1	1169	149
58719	147,203,183	3,0,0	192,164,202	0,0,1	270	149
58720	194,264,230	1,0,0	232,232,252	7,8,3	270	149
58721	1359,1577,1315	2,1,0	1449,1344,1714	0,0,0	269	149
58723	177,228,159	0,0,1	191,126,136	0,0,0	248	149
58724	163,227,140	0,0,3	155,117,162	0,0,0	209	149
58725	79,151,76	0,3,0	86,70,107	0,0,0	283	149
58726	129,230,118	0,0,3	126,123,120	0,1,0	201	149
58728	8,6,1	4,0,0	1,5,2	0,0,0	333	149
58733	2972,3795,2663	6,4,13	1873,1543,1803	7,0,11	228	149
58734	8,5,13	0,1,0	6,0,7	0,0,0	265	149
58736	736,943,700	3,3,0	473,432,453	3,0,0	218	149
58737	2657,3247,2454	3,3,0	1822,1418,1789	3,0,0	223	149
58738	5561,6647,5280	4,0,3	3645,3181,3824	0,0,2	226	149
58739	7256,9130,6969	12,4,10	4844,4329,5023	2,9,8	302	149
58741	4182,5259,3982	6,18,7	3123,2977,3100	7,1,1	202	149
58742	493,603,489	2,0,0	439,360,346	0,0,0	202	149
58743	3139,3884,2893	0,0,5	2275,2164,2324	0,0,0	278	149
58744	5848,7070,5270	31,29,12	4066,3973,4327	8,2,4	278	149
58745	5052,5932,4427	2,1,5	3715,3358,3704	0,0,0	318	149
58746	3717,4260,3288	1,4,0	2621,2500,2518	1,0,0	224	149
58747	2508,2916,2330	0,0,1	2594,2381,2686	0,0,0	288	149
58748	2470,2524,1979	0,0,4	2293,2042,2593	0,0,0	257	149
58749	2103,2118,1804	0,3,1	2020,1830,2243	1,0,0	358	149
58750	2,14,7	87,114,76	1,2,7	110,77,75	226	149
58751	663,789,538	2,0,0	568,478,502	0,0,0	300	149
58752	320,543,298	0,0,2	216,221,237	0,0,3	226	149
58753	20,41,28	0,0,0	12,6,6	0,0,1	296	149
58754	1,8,7	15,15,14	2,6,10	6,1,9	271	149
58755	228,287,220	2,2,1	200,206,209	0,2,0	176	149
58756	213,273,261	0,0,3	250,212,208	0,0,0	215	149
