"gene_id_clean","gene_symbol","log2FoldChange","padj"
"ENSMUSG00000025278","Flnb",1.03198198176097,6.61910819254544e-61
"ENSMUSG00000024899","Papss2",1.31212640634517,5.49348441187723e-60
"ENSMUSG00000073889","Il11ra1",-0.984519835981922,9.67693914581058e-60
"ENSMUSG00000023830","Igf2r",2.1284996813571,2.21831500351836e-59
"ENSMUSG00000009687","Fxyd5",0.959767706086518,2.39338100580164e-59
"ENSMUSG00000050332","Amer1",-1.48474999301046,2.59939805599074e-59
"ENSMUSG00000037962","Rflna",-2.62647325599877,3.98954376159303e-59
"ENSMUSG00000047180","Neurl3",1.22303410927724,4.19760131921361e-59
"ENSMUSG00000039419","Cntnap2",1.9107974470933,3.34786089903468e-58
"ENSMUSG00000044258","Ctla2a",1.10016120213424,4.78274468915434e-58
"ENSMUSG00000038780","Smurf1",-1.1292341353913,6.3297656627817e-58
"ENSMUSG00000079215","Zfp664",0.884850685300638,6.87432922697218e-58
"ENSMUSG00000061533","Cep128",1.46862967411421,1.26507803584889e-57
"ENSMUSG00000031299","Pdha1",-0.851982487251977,2.0493171877628e-57
"ENSMUSG00000040204","Pclaf",1.29218085746604,6.59215691768271e-57
"ENSMUSG00000038608","Dock10",2.9442294158433,7.86421354175826e-57
"ENSMUSG00000071847","Apcdd1",-3.93423505249674,9.44686750511536e-57
"ENSMUSG00000033910","Gucy1a1",-1.27914201853211,1.10567297401757e-56
"ENSMUSG00000023064","Sncg",1.11569752559574,3.44166680258069e-56
"ENSMUSG00000027605","Acss2",-1.04553523688891,1.1249656214854e-55
"ENSMUSG00000039206","Daglb",-1.08588130078596,1.18411449405672e-55
"ENSMUSG00000005410","Mcm5",1.21465300098418,1.18411449405672e-55
"ENSMUSG00000026305","Lrrfip1",-3.77547673685301,3.8678225403328e-55
"ENSMUSG00000004637","Wwox",-1.02073839004799,6.34182580210999e-55
"ENSMUSG00000000028","Cdc45",0.98931546730538,6.67314674547909e-55
"ENSMUSG00000025255","Zfhx4",-1.25859816905118,8.07916653194653e-55
"ENSMUSG00000021190","Lgmn",0.816732715739254,8.4042831769114e-55
"ENSMUSG00000019846","Lama4",0.919268556503512,3.96503209667703e-54
"ENSMUSG00000043259","Fam13c",-1.27010040214985,4.03897570920746e-54
"ENSMUSG00000017390","Aldoc",-1.4467404850169,4.33118920679178e-54
"ENSMUSG00000024594","Prrc1",-0.930581641043045,8.11973846158522e-54
"ENSMUSG00000070420","Zscan25",-1.17981843284368,8.23601917727403e-54
"ENSMUSG00000049775","Tmsb4x",-3.64248231945053,8.38493143665235e-54
"ENSMUSG00000038722","Bud31",-1.06012330569881,1.05431566416014e-53
"ENSMUSG00000021365","Nedd9",2.33016584605138,1.28251889561022e-53
"ENSMUSG00000026589","Sec16b",-1.11113217045249,1.7922265499365e-53
"ENSMUSG00000022021","Diaph3",1.0580925870123,3.12685550871296e-53
"ENSMUSG00000079350","Magea8",2.69610243193998,3.12685550871296e-53
"ENSMUSG00000029314","Gpat3",-1.43910050426565,9.46379921746376e-53
"ENSMUSG00000045967","Gpr158",-2.7193480665125,1.14668692452238e-52
"ENSMUSG00000052934","Fbxo31",-1.05505504192186,1.66577646010761e-52
"ENSMUSG00000085925","Rtl1",-1.36955215995353,1.66577646010761e-52
"ENSMUSG00000039145","Camk1d",0.857975288419549,3.79643077817399e-52
"ENSMUSG00000078521","Aunip",1.2498506152257,4.47174566154572e-52
"ENSMUSG00000052698","Tln2",1.18409720185384,4.62564487267108e-52
"ENSMUSG00000041895","Wipi1",-0.823805843072627,6.85207824798228e-52
"ENSMUSG00000029578","Wipi2",-1.00751114133291,1.67916020271146e-51
"ENSMUSG00000002012","Pnck",-2.35273977518128,2.8435423969446e-51
"ENSMUSG00000022044","Stmn4",1.05922947201789,3.27063521822176e-51
"ENSMUSG00000043903","Zfp469",-2.0437141149896,3.8585042241828e-51
"ENSMUSG00000031207","Msn",-0.871998578139487,4.80169476667821e-51
"ENSMUSG00000075012","Fjx1",1.01557483580656,1.00193774692915e-50
"ENSMUSG00000046442","Ppm1e",-0.781511599935872,1.12757644625416e-50
"ENSMUSG00000026579","F5",4.75142836409382,1.26568062124138e-50
"ENSMUSG00000025266","Gnl3l",-0.824098381297295,1.60185237387026e-50
"ENSMUSG00000059361","Nrsn2",-1.4782948639669,2.86334952246825e-50
"ENSMUSG00000042190","Cmklr1",-1.54262492423206,3.06784268737394e-50
"ENSMUSG00000035021","Baz1a",0.812573996984291,3.12667913020783e-50
"ENSMUSG00000028756","Pink1",-1.26874570910573,3.57798207226564e-50
"ENSMUSG00000042269","Cibar2",-1.81598853650272,4.63042899469508e-50
"ENSMUSG00000050288","Fzd2",2.03742701249506,5.44837129564509e-50
"ENSMUSG00000042258","Isl1",-1.16074421585749,2.21523082529708e-49
"ENSMUSG00000087242","C78197",-3.10423040966186,2.5990147487886e-49
"ENSMUSG00000053046","Brsk2",-0.92157998098276,2.94087621282972e-49
"ENSMUSG00000020961","Ston2",1.3549518062219,2.9975593960351e-49
"ENSMUSG00000039623","Ap5z1",-1.27149636458378,3.82475247481353e-49
"ENSMUSG00000029390","Tmed2",0.926675958048775,6.79307948721129e-49
"ENSMUSG00000078350","Smim1",-1.05132252609207,7.2835834701666e-49
"ENSMUSG00000025858","Get4",-0.978637284674152,8.19069106758426e-49
"ENSMUSG00000031028","Tub",-0.775907772183363,1.1309287858917e-48
"ENSMUSG00000035279","Ssc5d",1.11726201404266,1.4944669443687e-48
"ENSMUSG00000025931","Paqr8",2.41076122514611,1.61164435275764e-48
"ENSMUSG00000047844","Bex4",-2.30853087160842,2.21848815243695e-48
"ENSMUSG00000042116","Vwa1",1.35158351721226,2.60685963420535e-48
"ENSMUSG00000021182","Ccdc88c",1.44693332049616,2.67100864730314e-48
"ENSMUSG00000041020","Map7d2",-0.846212829556688,4.33462562650602e-48
"ENSMUSG00000071711","Mpst",-0.959522165700527,4.84044887235372e-48
"ENSMUSG00000021303","Gng4",-1.01737679438908,5.28522343221265e-48
"ENSMUSG00000021811","Dnajc9",1.12388686550989,6.32309842551221e-48
"ENSMUSG00000037139","Myom3",-2.39482488560488,6.50328430199142e-48
"ENSMUSG00000029651","Mtus2",-1.19561273655179,6.77486921311272e-48
"ENSMUSG00000021282","Eif5",0.806329292020759,7.41346646561137e-48
"ENSMUSG00000025207","Sema4g",-1.33009802617838,1.01547845083497e-47
"ENSMUSG00000030630","Fah",-1.24195243657024,1.37484598806764e-47
"ENSMUSG00000031985","Gnpat",-0.793367561093294,1.56438655216112e-47
"ENSMUSG00000000266","Mid2",-0.980899048380742,1.87516118143554e-47
"ENSMUSG00000023940","Sgo1",0.848259068652575,1.99590902613686e-47
"ENSMUSG00000039713","Plekhg5",-0.91786641090366,2.04054188197037e-47
"ENSMUSG00000003352","Cacnb3",-0.852284930338363,2.15790882192716e-47
"ENSMUSG00000026888","Grb14",-1.00062668481001,2.8035387401661e-47
"ENSMUSG00000022673","Mcm4",1.11630851390198,2.92704335145079e-47
"ENSMUSG00000002835","Chaf1a",1.01630334768643,2.96025659366995e-47
"ENSMUSG00000021611","Tert",-1.21662131223355,3.06600974200568e-47
"ENSMUSG00000047878","A4galt",0.864537185146656,3.25433842929337e-47
"ENSMUSG00000060572","Mfap2",-0.839363096432035,3.71731955489003e-47
"ENSMUSG00000036111","Lmo1",-0.978538025272322,5.30728063668552e-47
"ENSMUSG00000029217","Tec",1.51708151467854,5.7621340955064e-47
"ENSMUSG00000000740","Rpl13",-0.801739055720074,1.0117956942554e-46
"ENSMUSG00000005057","Sh2b2",-1.03436282448277,1.2571227244697e-46
"ENSMUSG00000037060","Cavin3",1.83373702949701,1.35777685615901e-46
"ENSMUSG00000037936","Scarb1",-0.906577183968547,1.57357431021587e-46
"ENSMUSG00000024176","Sox8",-1.0068300115766,1.6308409631533e-46
"ENSMUSG00000038949","Cnst",0.784561195124271,1.64270999154959e-46
"ENSMUSG00000037169","Mycn",-0.877907918246911,1.87646525512967e-46
"ENSMUSG00000025260","Hsd17b10",-0.847820259414796,2.563106473515e-46
"ENSMUSG00000086152","Gm11454",-2.98369723858577,3.55086012758885e-46
"ENSMUSG00000045345","ENSMUSG00000045345",-2.22842514221802,5.55039785552231e-46
"ENSMUSG00000031983","2310022B05Rik",-1.06941784564388,8.56622405924444e-46
"ENSMUSG00000044288","Cnr1",-0.861780888171739,1.81878799264263e-45
"ENSMUSG00000055805","Fmnl1",0.869260987660958,2.186318767055e-45
"ENSMUSG00000089762","Ier5l",1.16536693320746,3.04658107316254e-45
"ENSMUSG00000042249","Grk3",-1.01275208692473,4.4805142450581e-45
"ENSMUSG00000024913","Lrp5",-1.09261109673842,5.87383764023824e-45
"ENSMUSG00000031840","Rab3a",-1.06206660358463,8.24337232909348e-45
"ENSMUSG00000050212","Eva1b",-1.62197945000849,8.35432059716759e-45
"ENSMUSG00000022286","Grhl2",1.62892688140345,1.17591982563403e-44
"ENSMUSG00000048027","Rgmb",-2.25700524629297,6.42113285836811e-44
"ENSMUSG00000019961","Tmpo",0.805214993019406,6.86660683612535e-44
"ENSMUSG00000049382","Krt8",3.37615600370399,7.08300552848039e-44
"ENSMUSG00000001119","Col6a1",-1.32183147165381,2.42822117224225e-43
"ENSMUSG00000037286","Stag1",0.972757470876389,2.45662890808577e-43
"ENSMUSG00000029311","Hsd17b11",0.939192270014714,2.64109502964728e-43
"ENSMUSG00000013701","Timm23",0.900009243936174,2.6853344912956e-43
"ENSMUSG00000030020","Prickle2",1.12735552996082,2.72674690237509e-43
"ENSMUSG00000046027","Stard5",-1.41457936378373,3.34484978705386e-43
"ENSMUSG00000039244","Ints15",-1.03317602037692,5.10153875888715e-43
"ENSMUSG00000033880","Lgals3bp",0.943531244065295,6.46101406312567e-43
"ENSMUSG00000041431","Ccnb1",0.84261514888677,6.61817503935661e-43
"ENSMUSG00000039860","Srrm3",-0.748562575190338,7.78550223823826e-43
"ENSMUSG00000089704","Galnt2",-0.753456483047356,8.95345614942055e-43
"ENSMUSG00000098112","Bin2",-3.10222220430794,1.14045936771514e-42
"ENSMUSG00000029802","Abcg2",3.97620110168519,1.21502243087328e-42
"ENSMUSG00000041992","Rapgef5",0.762909813141168,1.58496557780588e-42
"ENSMUSG00000003779","Kif20a",1.07377888806131,1.7641357701077e-42
"ENSMUSG00000023972","Ptk7",1.50608477497107,1.96293937965329e-42
"ENSMUSG00000026107","Nabp1",0.812957774668169,3.13265658102628e-42
"ENSMUSG00000056679","Gpr173",-0.927750448949199,3.58722696655884e-42
"ENSMUSG00000048065","Cyb5r2",-1.48244575719349,5.03403039778815e-42
"ENSMUSG00000020684","Rasl10b",-1.39997166943457,5.06092014457453e-42
"ENSMUSG00000036678","Aaas",0.840552432821204,5.4840152849355e-42
"ENSMUSG00000017311","Pyy",2.05045354671206,7.6078251101764e-42
"ENSMUSG00000054843","Atrnl1",-0.749329119714201,8.28257239365938e-42
"ENSMUSG00000070777","Ceacam20",4.04438498163871,9.63417975703854e-42
"ENSMUSG00000017007","Rbpjl",-1.68688699198273,9.75339900175162e-42
"ENSMUSG00000032303","Chrna3",-1.17407803757408,1.12072835854383e-41
"ENSMUSG00000099528","2410012E07Rik",2.4206666605293,1.17022746486658e-41
"ENSMUSG00000020310","Madcam1",2.48670938229673,1.73837704099117e-41
"ENSMUSG00000036073","Galt",-0.951758458577069,2.23631627960669e-41
"ENSMUSG00000035594","Chrna5",-2.34137122752116,2.45746932846581e-41
"ENSMUSG00000052798","Nup107",0.912298867236644,2.50894033808484e-41
"ENSMUSG00000038690","Atp5mf",-1.02745842744631,2.76883306463854e-41
"ENSMUSG00000004098","Col5a3",1.38154364591337,4.12143114001879e-41
"ENSMUSG00000024575","Pde6a",2.26198043434935,4.38086171664383e-41
"ENSMUSG00000021340","Gpld1",-3.84090984846367,4.74962197948553e-41
"ENSMUSG00000079111","Kdelr2",-0.992532692344248,5.50457024294455e-41
"ENSMUSG00000048865","Arhgap30",0.771561684326404,5.78407513232783e-41
"ENSMUSG00000064351","COX1",-0.729437828724754,6.78108512347981e-41
"ENSMUSG00000003500","Impdh1",-0.787567394940484,9.24881474807723e-41
"ENSMUSG00000018983","E2f2",0.828743584528527,1.00157693757797e-40
"ENSMUSG00000048038","Ccdc187",-2.27766506464126,1.01099257619505e-40
"ENSMUSG00000055884","Fancm",0.905169861325572,1.37166629703845e-40
"ENSMUSG00000037474","Dtl",0.97861668628815,1.63334331758975e-40
"ENSMUSG00000028468","Rgp1",-0.924597950051002,2.06256887994866e-40
"ENSMUSG00000040836","Gpr161",1.13060657068959,3.05567577047918e-40
"ENSMUSG00000031897","Psmb10",0.866771114585306,3.08605838472414e-40
"ENSMUSG00000033597","Caskin1",-1.15112811589355,3.1311950429549e-40
"ENSMUSG00000028234","Rps20",-0.752339072326485,3.67708593328484e-40
"ENSMUSG00000038811","Gngt2",4.51974988205057,3.71800384647757e-40
"ENSMUSG00000066877","Nck2",-0.7540049496792,4.36437342640357e-40
"ENSMUSG00000017499","Cdc6",1.19548935162664,5.93933728125175e-40
"ENSMUSG00000026278","Bok",0.839533635439701,7.88672280682689e-40
