"GeneID_clean","GeneSymbol","n_events","event_types","max_abs_dPSI"
"ENSMUSG00000022677","Cep20",1,"SE",0.112
"ENSMUSG00000022701","Ccdc191",1,"SE",0.129
"ENSMUSG00000022708","Zbtb20",8,"SE,MXE",0.396
"ENSMUSG00000022744","Cldnd1",3,"SE",0.189
"ENSMUSG00000022779","Top3b",2,"SE",0.208
"ENSMUSG00000022789","Dnm1l",3,"SE",0.176
"ENSMUSG00000022801","Lrch3",1,"SE",0.208
"ENSMUSG00000022940","Pigp",1,"SE",0.166
"ENSMUSG00000023008","Fmnl3",1,"SE",0.229
"ENSMUSG00000023044","Csad",2,"SE",0.341
"ENSMUSG00000023235","Ccl25",4,"SE,MXE",0.14
"ENSMUSG00000023707","Ogfod2",2,"SE,A3SS",0.144
"ENSMUSG00000023868","Pde10a",1,"SE",0.169
"ENSMUSG00000023882","Zfp54",1,"SE",0.59
"ENSMUSG00000023977","Ubr2",2,"SE,RI",0.2
"ENSMUSG00000023999","Kif6",1,"SE",0.241
"ENSMUSG00000024104","Washc2",1,"MXE",0.116
"ENSMUSG00000024114","Prss41",1,"SE",0.667
"ENSMUSG00000024130","Abca3",1,"SE",0.118
"ENSMUSG00000024132","Eci1",2,"SE",0.875
"ENSMUSG00000024163","Mapk8ip3",2,"SE,MXE",0.113
"ENSMUSG00000024188","Luc7l",1,"SE",0.122
"ENSMUSG00000024293","Esco1",1,"A5SS",0.105
"ENSMUSG00000024299","Adamts10",1,"RI",0.108
"ENSMUSG00000024387","Csnk2b",1,"SE",0.43
"ENSMUSG00000024426","Atat1",1,"MXE",0.102
"ENSMUSG00000024485","Slc4a9",1,"SE",0.255
"ENSMUSG00000024566","Atp9b",1,"SE",0.137
"ENSMUSG00000024592","C330018D20Rik",1,"SE",0.356
"ENSMUSG00000024726","Carnmt1",1,"SE",0.239
"ENSMUSG00000024766","Lipo3",1,"SE",0.207
"ENSMUSG00000024937","Ehbp1l1",2,"SE,A5SS",0.243
"ENSMUSG00000024983","Vti1a",1,"SE",0.133
"ENSMUSG00000025138","Sirt7",4,"SE,RI",0.199
"ENSMUSG00000025494","Sigirr",1,"SE",0.189
"ENSMUSG00000025504","Eps8l2",1,"RI",0.4
"ENSMUSG00000025575","Cant1",1,"A5SS",0.139
"ENSMUSG00000025728","Pigq",2,"SE,A3SS",0.359
"ENSMUSG00000025766","D3Ertd751e",2,"SE",0.171
"ENSMUSG00000025813","Homer2",1,"A5SS",0.106
"ENSMUSG00000025893","Kbtbd3",1,"SE",0.248
"ENSMUSG00000026017","Carf",1,"SE",0.148
"ENSMUSG00000026074","Map4k4",2,"SE,A5SS",0.723
"ENSMUSG00000026276","Septin2",1,"SE",0.189
"ENSMUSG00000026333","Gin1",1,"A3SS",0.16
"ENSMUSG00000026349","Ccnt2",1,"RI",0.131
"ENSMUSG00000026409","Pfkfb2",2,"SE",0.199
"ENSMUSG00000026455","Klhl12",1,"A3SS",0.14
