"GeneID_clean","GeneSymbol","n_events","event_types","max_abs_dPSI"
"ENSMUSG00000038005","Hpf1",1,"SE",0.118
"ENSMUSG00000038174","Hycc2",1,"A5SS",0.367
"ENSMUSG00000038416","Cdc16",1,"MXE",0.108
"ENSMUSG00000038517","Tbkbp1",1,"A3SS",0.103
"ENSMUSG00000038533","Cbfa2t2",1,"SE",0.126
"ENSMUSG00000038564","Ift172",1,"RI",0.187
"ENSMUSG00000038781","Stap2",1,"RI",0.36
"ENSMUSG00000038782","1700028J19Rik",1,"A5SS",0.15
"ENSMUSG00000038807","Rap1gap2",1,"SE",0.148
"ENSMUSG00000038860","Garnl3",2,"SE,MXE",0.116
"ENSMUSG00000038876","Rnf146",1,"SE",0.173
"ENSMUSG00000038893","Fam117a",1,"SE",0.8
"ENSMUSG00000039065","Atpsckmt",1,"SE",0.191
"ENSMUSG00000039068","Zzz3",1,"SE",0.322
"ENSMUSG00000039099","Wdr93",1,"SE",0.562
"ENSMUSG00000039103","Nexn",1,"SE",0.197
"ENSMUSG00000039176","Polg",1,"SE",0.183
"ENSMUSG00000039205","Ciz1",2,"RI",0.111
"ENSMUSG00000039221","Rpl22l1",1,"A3SS",0.178
"ENSMUSG00000039262","Prrc2b",1,"SE",0.132
"ENSMUSG00000039275","Foxk2",1,"SE",0.276
"ENSMUSG00000039307","Hexdc",1,"A3SS",0.178
"ENSMUSG00000039318","Rab3gap2",2,"A5SS,RI",0.223
"ENSMUSG00000039382","Wdr45",1,"A3SS",0.209
"ENSMUSG00000039477","Tnrc18",1,"SE",0.152
"ENSMUSG00000039599","Fam149b",2,"SE",0.29
"ENSMUSG00000039623","Ap5z1",1,"RI",0.14
"ENSMUSG00000039671","Zmynd8",2,"SE,A5SS",0.158
"ENSMUSG00000039678","Tbc1d13",2,"SE",0.155
"ENSMUSG00000039782","Cpeb2",1,"SE",0.183
"ENSMUSG00000040139","9430038I01Rik",1,"SE",0.162
"ENSMUSG00000040174","Alkbh3",2,"SE,A5SS",0.166
"ENSMUSG00000040250","Ints13",1,"SE",0.103
"ENSMUSG00000040270","Bach2",1,"SE",0.13
"ENSMUSG00000040354","Mars1",2,"SE,RI",0.22
"ENSMUSG00000040363","Bcor",4,"SE,A3SS,MXE",0.344
"ENSMUSG00000040455","Usp45",1,"SE",0.153
"ENSMUSG00000040462","Os9",1,"SE",0.102
"ENSMUSG00000040506","Ambra1",1,"SE",0.121
"ENSMUSG00000040669","Phc1",1,"RI",0.11
"ENSMUSG00000040690","Col16a1",1,"SE",0.159
"ENSMUSG00000040732","Erg",1,"SE",0.275
"ENSMUSG00000040751","Lat2",1,"SE",0.482
"ENSMUSG00000041193","Pla2g5",1,"SE",0.181
"ENSMUSG00000041229","Phf8",1,"SE",0.162
"ENSMUSG00000041264","Uspl1",2,"SE",0.168
"ENSMUSG00000041328","Pcf11",1,"A5SS",0.202
"ENSMUSG00000041420","Meis3",1,"A5SS",0.11
"ENSMUSG00000041488","Stx3",1,"SE",0.204
"ENSMUSG00000041530","Ago1",1,"A3SS",0.1
"ENSMUSG00000041570","Camsap2",1,"SE",0.169
"ENSMUSG00000041607","Mbp",1,"SE",0.191
"ENSMUSG00000041609","Bicdl1",2,"SE",0.109
"ENSMUSG00000041617","Ccdc74a",2,"SE,MXE",0.581
"ENSMUSG00000041740","Rnf10",2,"SE",0.597
"ENSMUSG00000041890","Git2",2,"SE",0.165
"ENSMUSG00000042035","Igsf3",1,"SE",0.108
"ENSMUSG00000042097","Zfp239",1,"SE",0.124
"ENSMUSG00000042198","Chchd7",1,"A3SS",0.131
"ENSMUSG00000042298","Ttc19",1,"SE",0.33
"ENSMUSG00000042359","Osbpl6",1,"SE",0.13
"ENSMUSG00000042439","Zfp532",3,"SE",0.24
"ENSMUSG00000042564","Fam227a",1,"SE",0.267
"ENSMUSG00000042589","Cux2",1,"SE",0.312
"ENSMUSG00000042751","Nmnat2",1,"SE",0.549
"ENSMUSG00000042790","Rnf214",1,"MXE",0.137
"ENSMUSG00000042901","Aida",1,"SE",0.37
"ENSMUSG00000043085","Tmem82",1,"RI",0.149
"ENSMUSG00000043088","Il17re",1,"RI",0.466
"ENSMUSG00000043323","Fbrsl1",2,"SE,MXE",0.24
"ENSMUSG00000043795","Prr33",1,"SE",0.241
"ENSMUSG00000043872","Zmym1",1,"MXE",0.101
"ENSMUSG00000043923","Ccdc84",2,"SE",0.183
"ENSMUSG00000043987","Cep164",5,"SE",0.239
"ENSMUSG00000044037","Als2cl",2,"SE",0.213
"ENSMUSG00000044055","Otos",1,"SE",0.163
"ENSMUSG00000044348","Slc25a53",2,"SE",0.161
"ENSMUSG00000044906","4930503L19Rik",1,"SE",0.631
"ENSMUSG00000045031","Cetn4",2,"SE",0.357
"ENSMUSG00000045438","Cox19",1,"SE",0.271
"ENSMUSG00000045659","Plekha7",1,"SE",0.131
"ENSMUSG00000045761","Togaram2",1,"SE",0.188
"ENSMUSG00000045795","Whamm",1,"A5SS",0.143
"ENSMUSG00000046152","Fut10",1,"SE",0.101
"ENSMUSG00000046169","Adamts6",3,"SE,RI",0.386
"ENSMUSG00000046311","Zfp62",2,"SE",0.468
"ENSMUSG00000046691","Chtf8",1,"A3SS",0.123
"ENSMUSG00000046711","Hmga1",1,"SE",0.1
"ENSMUSG00000046782","Ttc6",1,"SE",0.356
"ENSMUSG00000047045","Tmem164",4,"SE,MXE",0.194
"ENSMUSG00000047090","Tmem198b",1,"RI",0.101
"ENSMUSG00000047193","Dync2h1",3,"SE,A3SS,MXE",0.253
"ENSMUSG00000047617","Paxx",1,"SE",0.112
"ENSMUSG00000047656","Trpt1",1,"SE",0.116
"ENSMUSG00000047731","Wbp1l",1,"SE",0.145
"ENSMUSG00000047747","Rnf150",1,"SE",0.101
"ENSMUSG00000047767","Atg16l2",3,"A5SS,RI",0.187
"ENSMUSG00000047804","Akap10",1,"SE",0.123
"ENSMUSG00000048029","Eno4",1,"SE",0.505
"ENSMUSG00000048200","Cracr2b",1,"SE",0.204
"ENSMUSG00000048652","Samd13",2,"SE",0.466
"ENSMUSG00000048731","Ggnbp1",1,"SE",0.301
"ENSMUSG00000048796","Cyb561d1",2,"A3SS,A5SS",0.15
"ENSMUSG00000049550","Clip1",2,"SE,A5SS",0.345
"ENSMUSG00000049580","Tsku",1,"SE",0.121
"ENSMUSG00000049606","Zfp644",4,"SE,A5SS,RI",0.629
"ENSMUSG00000050357","Carmil2",1,"SE",0.133
"ENSMUSG00000050812","Ecpas",1,"SE",0.114
"ENSMUSG00000050908","Tvp23a",1,"SE",0.105
"ENSMUSG00000051278","Zgrf1",1,"SE",0.135
"ENSMUSG00000051510","Mafg",1,"SE",0.103
"ENSMUSG00000051527","Usp29",1,"SE",0.229
"ENSMUSG00000051586","Mical3",4,"SE",0.288
"ENSMUSG00000051827","Rhox2a",1,"SE",0.265
"ENSMUSG00000052373","Mpp3",1,"A3SS",0.287
"ENSMUSG00000052446","Zfp961",2,"SE",0.124
"ENSMUSG00000052525","Spdya",1,"SE",0.145
"ENSMUSG00000052632","Asap2",1,"SE",0.196
"ENSMUSG00000052752","Traf7",3,"A3SS,A5SS,MXE",0.178
"ENSMUSG00000052760","A630001G21Rik",1,"A3SS",0.398
"ENSMUSG00000052949","Rnf157",1,"SE",0.231
"ENSMUSG00000053158","Fes",1,"MXE",0.122
"ENSMUSG00000053332","Gas5",9,"SE,A3SS,A5SS,MXE,RI",0.352
"ENSMUSG00000053453","Thoc7",1,"A5SS",0.143
"ENSMUSG00000053754","Chd8",1,"SE",0.146
"ENSMUSG00000053768","Chchd3",2,"MXE",0.403
"ENSMUSG00000054051","Ercc6",1,"SE",0.136
"ENSMUSG00000054252","Fgfr3",1,"RI",0.163
"ENSMUSG00000054648","Zfp869",2,"SE",0.325
"ENSMUSG00000055013","Agap1",1,"SE",0.145
"ENSMUSG00000055150","Zfp78",1,"SE",0.177
"ENSMUSG00000055296","Tmem245",1,"SE",0.112
"ENSMUSG00000055341","Zfp457",1,"SE",0.387
"ENSMUSG00000055632","Hmcn2",1,"SE",0.106
"ENSMUSG00000055681","Cope",1,"RI",0.176
"ENSMUSG00000055991","Zkscan5",1,"SE",0.128
"ENSMUSG00000056055","Sag",1,"SE",0.884
"ENSMUSG00000056153","Socs6",1,"SE",0.353
"ENSMUSG00000056228","Cars2",4,"SE,A3SS",0.149
"ENSMUSG00000056260","Lrif1",1,"SE",0.221
"ENSMUSG00000056268","Dennd1b",2,"SE,MXE",0.189
"ENSMUSG00000056851","Pcbp2",1,"A3SS",0.104
"ENSMUSG00000056962","Jmjd6",1,"RI",0.102
"ENSMUSG00000057554","Lgals8",1,"MXE",0.157
"ENSMUSG00000057637","Prdm2",2,"SE,MXE",0.151
"ENSMUSG00000057766","Ankrd29",1,"MXE",0.334
"ENSMUSG00000057858","Fam204a",6,"SE,MXE",0.222
"ENSMUSG00000058006","Mdn1",1,"MXE",0.117
"ENSMUSG00000058240","Cryzl1",2,"SE,MXE",0.415
"ENSMUSG00000058486","Wdr91",1,"SE",0.599
"ENSMUSG00000058503","Fam133b",1,"RI",0.138
"ENSMUSG00000058881","Zfp516",1,"SE",0.146
"ENSMUSG00000058966","Tlcd3b",3,"SE,A3SS,A5SS",0.304
"ENSMUSG00000059146","Ntrk3",2,"SE",0.216
"ENSMUSG00000059288","Cdyl",1,"SE",0.187
"ENSMUSG00000059291","Rpl11",1,"SE",0.169
"ENSMUSG00000059439","Bcas3",1,"SE",0.231
"ENSMUSG00000059474","Mbtd1",1,"SE",0.271
"ENSMUSG00000059479","B3gnt8",1,"SE",0.655
"ENSMUSG00000060002","Chpt1",2,"SE",0.272
"ENSMUSG00000060098","Prmt7",2,"MXE",0.131
"ENSMUSG00000060450","Rnf14",3,"SE",0.356
"ENSMUSG00000060791","Gmfg",2,"SE",0.561
"ENSMUSG00000061298","Agbl4",1,"A3SS",0.359
"ENSMUSG00000061411","Nol4l",2,"A5SS,MXE",0.133
"ENSMUSG00000061740","Cyp2d22",1,"RI",0.34
"ENSMUSG00000061904","Slc25a3",1,"SE",0.168
"ENSMUSG00000062040","Zfp27",1,"A3SS",0.323
"ENSMUSG00000063179","Pstk",1,"SE",0.221
"ENSMUSG00000063849","Ppcdc",1,"A3SS",0.205
"ENSMUSG00000064120","Mocs1",1,"MXE",0.109
"ENSMUSG00000064179","Tnnt1",3,"SE",0.213
"ENSMUSG00000064194","Zfp936",1,"SE",0.156
"ENSMUSG00000064302","Clasp1",2,"SE",0.148
"ENSMUSG00000065954","Tacc1",2,"SE",0.144
"ENSMUSG00000065999","Zfp985",1,"SE",0.293
"ENSMUSG00000066235","Pomgnt2",3,"SE,MXE",0.313
"ENSMUSG00000066571","Garre1",1,"SE",0.333
"ENSMUSG00000066892","Fbxl12",1,"A5SS",0.167
"ENSMUSG00000067795","4930444P10Rik",1,"SE",0.619
"ENSMUSG00000067825","Pex26",1,"SE",0.113
"ENSMUSG00000068040","Tm9sf4",1,"SE",0.806
"ENSMUSG00000068329","Htra2",4,"SE,A5SS",0.306
"ENSMUSG00000068663","Clec16a",1,"A5SS",0.208
"ENSMUSG00000068686","Cd59b",1,"SE",0.344
"ENSMUSG00000068699","Flnc",1,"SE",0.204
"ENSMUSG00000068917","Clk2",1,"RI",0.174
"ENSMUSG00000069255","Dusp22",1,"RI",0.133
"ENSMUSG00000070034","Sp110",1,"RI",0.51
"ENSMUSG00000070047","Fat1",1,"SE",0.138
"ENSMUSG00000070337","Gpr179",2,"SE",0.472
"ENSMUSG00000070733","Fryl",1,"SE",0.103
"ENSMUSG00000070883","Ccdc173",1,"SE",0.137
"ENSMUSG00000071176","Arhgef10",1,"SE",0.152
"ENSMUSG00000071291","Zfp58",1,"SE",0.293
"ENSMUSG00000071724","Smpd5",1,"SE",0.158
"ENSMUSG00000072109","A530040E14Rik",1,"A5SS",0.294
"ENSMUSG00000072501","Phf20l1",4,"SE,A3SS,RI",0.277
"ENSMUSG00000072769","Gm10419",2,"A3SS,A5SS",0.208
"ENSMUSG00000073147","5031425E22Rik",1,"SE",0.327
"ENSMUSG00000073236","2500004C02Rik",2,"SE",0.46
"ENSMUSG00000073430","Gm10505",1,"SE",0.239
"ENSMUSG00000073460","Pnldc1",1,"A3SS",0.531
"ENSMUSG00000073609","D2hgdh",1,"SE",0.169
"ENSMUSG00000073792","Alg6",1,"SE",0.537
"ENSMUSG00000074139","1700057G04Rik",1,"SE",0.644
"ENSMUSG00000074141","Il4i1",2,"SE",0.489
"ENSMUSG00000074165","Zfp788",1,"MXE",0.148
"ENSMUSG00000074219","Gm10644",1,"SE",0.485
"ENSMUSG00000074758","Gm5535",2,"SE",0.261
"ENSMUSG00000074813","Morrbid",1,"SE",0.176
"ENSMUSG00000074818","Pdzd7",1,"SE",0.109
"ENSMUSG00000075463","4930594M22Rik",1,"SE",0.422
"ENSMUSG00000075704","Txnrd2",1,"SE",0.626
"ENSMUSG00000078490","Cfap74",1,"RI",0.599
"ENSMUSG00000078517","Emc1",1,"A3SS",0.106
"ENSMUSG00000078773","Rad54b",1,"A3SS",0.171
"ENSMUSG00000078784","Rbis",1,"RI",0.176
"ENSMUSG00000078870","Gm14410",1,"SE",0.175
"ENSMUSG00000078903","Gm14391",1,"SE",0.601
"ENSMUSG00000078906","Gm14444",1,"SE",0.171
"ENSMUSG00000079036","Alkbh1",1,"A3SS",0.238
"ENSMUSG00000079105","C7",1,"SE",0.153
"ENSMUSG00000079179","Rab10os",1,"SE",0.121
"ENSMUSG00000079491","H2-T10",1,"SE",0.245
"ENSMUSG00000079657","Rab26",1,"A3SS",0.124
"ENSMUSG00000084885","3010001F23Rik",1,"SE",0.21
"ENSMUSG00000085112","A530072M11Rik",1,"SE",0.247
"ENSMUSG00000085558","4930412C18Rik",2,"SE,A5SS",0.522
"ENSMUSG00000085614","1700123M08Rik",3,"SE,A5SS",0.382
"ENSMUSG00000085936","2610307P16Rik",8,"SE,MXE",0.635
"ENSMUSG00000086324","Gm15564",1,"A3SS",0.168
"ENSMUSG00000086453","Gm11457",2,"SE",0.54
"ENSMUSG00000086629","2810403D21Rik",4,"SE,MXE",0.24
"ENSMUSG00000086841","2410006H16Rik",1,"RI",0.113
"ENSMUSG00000086877","A230072C01Rik",1,"RI",0.136
"ENSMUSG00000087211","Lhx1os",1,"SE",0.57
"ENSMUSG00000087305","A430035B10Rik",1,"SE",0.367
"ENSMUSG00000087331","1810021B22Rik",1,"SE",0.301
"ENSMUSG00000087368","BC065397",2,"SE,MXE",0.166
"ENSMUSG00000087411","Gm16048",1,"SE",0.273
"ENSMUSG00000087433","Gm14167",1,"RI",0.321
"ENSMUSG00000087574","C030037D09Rik",1,"SE",0.134
"ENSMUSG00000087578","Ccdc142os",1,"SE",0.125
"ENSMUSG00000087674","4930447M23Rik",2,"SE,A5SS",0.458
"ENSMUSG00000089815","Gm5083",1,"A3SS",0.258
"ENSMUSG00000089957","A830011K09Rik",1,"SE",0.533
"ENSMUSG00000090290","Tarbp1",2,"SE",0.19
"ENSMUSG00000090691","Gm3667",2,"SE",0.511
"ENSMUSG00000092060","Bend4",2,"A5SS,RI",0.159
"ENSMUSG00000092203","1110038B12Rik",3,"A5SS,RI",0.139
"ENSMUSG00000092335","Zfp977",2,"SE,MXE",0.147
"ENSMUSG00000094870","Zfp131",1,"RI",0.127
"ENSMUSG00000095567","Noc2l",1,"RI",0.103
"ENSMUSG00000096965","3300005D01Rik",2,"SE",0.189
"ENSMUSG00000097039","Pvt1",7,"SE,MXE",0.193
"ENSMUSG00000097075","Cdiptos",1,"RI",0.327
"ENSMUSG00000097316","Gm10516",1,"SE",0.577
"ENSMUSG00000097357","Gm16793",1,"A3SS",0.173
"ENSMUSG00000097391","Mirg",1,"SE",0.364
"ENSMUSG00000097589","Dleu2",2,"SE",0.208
"ENSMUSG00000097882","0610038B21Rik",1,"A5SS",0.117
"ENSMUSG00000097910","Hdnr",2,"SE",0.284
"ENSMUSG00000098098","Bvht",3,"SE,A5SS",0.577
"ENSMUSG00000098789","Jmjd7",2,"SE,A3SS",0.111
"ENSMUSG00000100510","Hand2os1",1,"SE",0.252
"ENSMUSG00000102679","Gm20557",2,"SE",0.478
"ENSMUSG00000106261","Gm34086",1,"SE",0.451
"ENSMUSG00000107068","Gm42742",1,"SE",0.589
"ENSMUSG00000107271","BC028471",1,"SE",0.119
"ENSMUSG00000107283","Mpv17",1,"SE",0.124
"ENSMUSG00000109006","B230209E15Rik",1,"SE",0.239
"ENSMUSG00000110218","Tincr",1,"SE",0.158
"ENSMUSG00000110605","Gm32856",1,"SE",0.256
"ENSMUSG00000111866","E130101E03Rik",1,"SE",0.367
"ENSMUSG00000112071","5430401H09Rik",1,"RI",0.3
"ENSMUSG00000113484","Gm47157",1,"SE",0.361
"ENSMUSG00000113949","Scamp4",1,"SE",0.21
"ENSMUSG00000113986","Gm31333",1,"SE",0.278
"ENSMUSG00000116570","Gm49754",1,"SE",0.252
"ENSMUSG00000116953","9030025P20Rik",2,"SE,A3SS",0.176
"ENSMUSG00000117358","Gm31645",1,"SE",0.484
"ENSMUSG00000117427","Gm36199",1,"RI",0.523
"ENSMUSG00000117485","Gm19696",1,"RI",0.5
"ENSMUSG00000117679","Apbb3",2,"SE,RI",0.142
"ENSMUSG00000118087","4833438C02Rik",1,"RI",0.169
"ENSMUSG00000118314","1700001K23Rik",1,"SE",0.28
"ENSMUSG00000118346","Tmem179b",1,"SE",0.114
"ENSMUSG00000119993","Gm32085",1,"A5SS",0.309
"ENSMUSG00000121496","Ube2d-ps",3,"SE,A5SS,MXE",0.293
"ENSMUSG00000121502","ENSMUSG00000121502",1,"SE",0.261
"ENSMUSG00002076083","Klhl17",1,"A5SS",0.123
